CRIM_Phrase_ID,CRIM_Mass_ID,Mass_Section_ID,Section_Phrase_Number,Start_Measure,Stop_Measure,Part,Text,,,,,,,,
a preciser dans la liste complete!,CRIM_Mass_0019,CRIM_Mass_0019_01,1,1,19,1,Kyrie eleison.,,,,,,,,
,CRIM_Mass_0019,CRIM_Mass_0019_01,2,20,44,2,Christe eleison.,,,,,,,,
,CRIM_Mass_0019,CRIM_Mass_0019_01,3,45,67,3,Kyrie eleison.,,,,,,,,
,CRIM_Mass_0019,CRIM_Mass_0019_02,1,1,7,1,Et in terra pax hominibus bonae voluntatis.,,,,,,,,
,CRIM_Mass_0019,CRIM_Mass_0019_02,2,7,9,1,Laudamus te.,,,,,,,,
,CRIM_Mass_0019,CRIM_Mass_0019_02,3,8,10,1,Benedicimus te.,,,,,,,,
,CRIM_Mass_0019,CRIM_Mass_0019_02,4,10,13,1,Adoramus te.,,,,,,,,
,CRIM_Mass_0019,CRIM_Mass_0019_02,5,11,15,1,Glorificamus te.,,,,,,,,
,CRIM_Mass_0019,CRIM_Mass_0019_02,6,15,21,1,Gratias agimus tibi propter magnam gloriam tuam.,,,,,,,,
,CRIM_Mass_0019,CRIM_Mass_0019_02,7,21,27,1,"Domine Deus, Rex caelestis, Deus Pater omnipotens.",,,,,,,,
,CRIM_Mass_0019,CRIM_Mass_0019_02,8,27,35,1,Domine Fili unigenite Iesu Christe.,,,,,,,,
,CRIM_Mass_0019,CRIM_Mass_0019_02,9,34,43,1,"Domine Deus, Agnus Dei, Filius Patris.",,,,,,,,
,CRIM_Mass_0019,CRIM_Mass_0019_02,10,44,54,2,"Qui tollis peccata mundi, miserere nobis.",,,,,,,,
,CRIM_Mass_0019,CRIM_Mass_0019_02,11,53,64,2,"Qui tollis peccata mundi, suscipe deprecationem nostram.",,,,,,,,
,CRIM_Mass_0019,CRIM_Mass_0019_02,12,64,72,2,"Qui sedes ad dexteram Patris, miserere nobis.",,,,,,,,
,CRIM_Mass_0019,CRIM_Mass_0019_02,13,71,76,2,Quoniam tu solus sanctus.,,,,,,,,
,CRIM_Mass_0019,CRIM_Mass_0019_02,14,75,78,2,Tu solus Dominus.,,,,,,,,
,CRIM_Mass_0019,CRIM_Mass_0019_02,15,78,83,2,"Tu solus Altissimus, Iesu Christe.",,,,,,,,
,CRIM_Mass_0019,CRIM_Mass_0019_02,16,82,98,2,"Cum Sancto Spiritu, in gloria Dei Patris.",,,,,,,,
,CRIM_Mass_0019,CRIM_Mass_0019_02,17,92,99,2,Amen.,,,,,,,,
,CRIM_Mass_0019,CRIM_Mass_0019_03,1,1,13,1,"Patrem omnipotentem, factorem caeli et terrae, visibilium omnium, et invisibilium.",,,,,,,,
,CRIM_Mass_0019,CRIM_Mass_0019_03,2,11,24,1,"Et in unum Dominum Iesum Christum, Filium Dei unigenitum.",,,,,,,,
,CRIM_Mass_0019,CRIM_Mass_0019_03,3,23,29,1,Et ex Patre natum ante omnia saecula.,,,,,,,,
,CRIM_Mass_0019,CRIM_Mass_0019_03,4,28,36,1,"Deum de Deo, lumen de lumine, Deum verum de Deo vero.",,,,,,,,
,CRIM_Mass_0019,CRIM_Mass_0019_03,5,36,40,1,"Genitum, non factum, consubstantialem Patri:",,,,,,,,
,CRIM_Mass_0019,CRIM_Mass_0019_03,6,39,43,1,per quem omnia facta sunt.,,,,,,,,
,CRIM_Mass_0019,CRIM_Mass_0019_03,7,43,52,1,"Qui propter non homines, et propter nostram salutem descendit de caelis.",,,,,,,,
,CRIM_Mass_0019,CRIM_Mass_0019_03,8,53,63,1,Et incarnatus est de Spiritu Sancto ex Maria Virgine:,,,,,,,,
,CRIM_Mass_0019,CRIM_Mass_0019_03,9,63,67,1,Et homo factus est.,,,,,,,,
,CRIM_Mass_0019,CRIM_Mass_0019_03,10,68,73,2,Crucifixus etiam pro nobis: ,,,,,,,,
,CRIM_Mass_0019,CRIM_Mass_0019_03,11,71,79,2,"sub Pontio Pilato passus, et sepultus est.",,,,,,,,
,CRIM_Mass_0019,CRIM_Mass_0019_03,12,78,85,2,"Et resurrexit tertia die, secundum Scripturas.",,,,,,,,
,CRIM_Mass_0019,CRIM_Mass_0019_03,13,84,87,2,Et ascendit in caelum:,,,,,,,,
,CRIM_Mass_0019,CRIM_Mass_0019_03,14,87,90,2,sedet ad dexteram Patris.,,,,,,,,
,CRIM_Mass_0019,CRIM_Mass_0019_03,15,90,96,2,"Et iterum venturus est cum gloria, iudicare vivos et mortuos:",,,,,,,,
,CRIM_Mass_0019,CRIM_Mass_0019_03,16,96,100,2,cuius regni non erit finis.,,,,,,,,
,CRIM_Mass_0019,CRIM_Mass_0019_03,17,100,107,2,"Et in Spiritum Sanctum, Dominum, et vivificantem:",,,,,,,,
,CRIM_Mass_0019,CRIM_Mass_0019_03,18,106,110,2,qui ex Patre Filioque procedit.,,,,,,,,
,CRIM_Mass_0019,CRIM_Mass_0019_03,19,110,118,2,"Qui cum Patre et Filio simul adoratur, et conglorificatur: ",,,,,,,,
,CRIM_Mass_0019,CRIM_Mass_0019_03,20,118,122,2,qui locutus est per Prophetas.,,,,,,,,
,CRIM_Mass_0019,CRIM_Mass_0019_03,21,122,128,2,Et unam sanctam catholicam et apostolicam Ecclesiam.,,,,,,,,
,CRIM_Mass_0019,CRIM_Mass_0019_03,22,127,134,2,Confiteor unum baptisma in remissionem peccatorum.,,,,,,,,
,CRIM_Mass_0019,CRIM_Mass_0019_03,23,134,142,2,Et expecto resurrectionem mortuorum.,,,,,,,,
,CRIM_Mass_0019,CRIM_Mass_0019_03,24,142,153,2,Et vitam venturi saeculi.,,,,,,,,
,CRIM_Mass_0019,CRIM_Mass_0019_03,25,151,154,2,Amen.,,,,,,,,
,CRIM_Mass_0019,CRIM_Mass_0019_04,1,1,27,1,Sanctus Dominus Deus Sabaoth.,,,,,,,,
,CRIM_Mass_0019,CRIM_Mass_0019_04,2,28,58,2,Pleni sunt caeli et terra gloria tua.,,,,,,,,
,CRIM_Mass_0019,CRIM_Mass_0019_04,3,59,81,3,Hosanna in excelsis.,,,,,,,,
,CRIM_Mass_0019,CRIM_Mass_0019_04,4,82,117,4,Benedictus qui venit in nomine Domini.,,,,,,,,
,CRIM_Mass_0019,CRIM_Mass_0019_05,1,1,20,1,"Agnus Dei, qui tollis peccata mundi: ",,,,,,,,
,CRIM_Mass_0019,CRIM_Mass_0019_05,2,19,34,1,miserere nobis.,,,,,,,,
,,,,,,,"Agnus Dei, qui tollis peccata mundi: ",,,,,,,,
,,,,,,,miserere nobis.,,,,,,,,
,CRIM_Mass_0019,CRIM_Mass_0019_05,3,35,51,2,"Agnus Dei, qui tollis peccata mundi: ",,,,,,,,
,CRIM_Mass_0019,CRIM_Mass_0019_05,4,50,71,2,dona nobis pacem.,,,,,,,,
