CRIM_Phrase_ID,CRIM_Mass_ID,Mass_Section_ID,Section_Phrase_Number,Start_Measure,Stop_Measure,End of section,Text,,,,,,,,
a preciser dans la liste complete!,CRIM_Mass_0016,CRIM_Mass_0016_1,1,1,28,1,Kyrie eleison.,,,,,,,,
,CRIM_Mass_0016,CRIM_Mass_0016_1,2,29,59,2,Christe eleison.,,,,,,,,
,CRIM_Mass_0016,CRIM_Mass_0016_1,3,60,107,3,Kyrie eleison.,,,,,,,,
,CRIM_Mass_0016,CRIM_Mass_0016_2,1,1,17,1,Et in terra pax hominibus bonae voluntatis.,,,,,,,,
,CRIM_Mass_0016,CRIM_Mass_0016_2,2,14,21,1,Laudamus te.,,,,,,,,
,CRIM_Mass_0016,CRIM_Mass_0016_2,3,16,24,1,Benedicimus te.,,,,,,,,
,CRIM_Mass_0016,CRIM_Mass_0016_2,4,20,33,1,Adoramus te.,,,,,,,,
,CRIM_Mass_0016,CRIM_Mass_0016_2,5,24,37,1,Glorificamus te.,,,,,,,,
,CRIM_Mass_0016,CRIM_Mass_0016_2,6,33,51,1,Gratias agimus tibi propter magnam gloriam tuam.,,,,,,,,
,CRIM_Mass_0016,CRIM_Mass_0016_2,7,48,69,1,"Domine Deus, Rex caelestis, Deus Pater omnipotens.",,,,,,,,
,CRIM_Mass_0016,CRIM_Mass_0016_2,8,64,81,1,Domine Fili unigenite Iesu Christe.,,,,,,,,
,CRIM_Mass_0016,CRIM_Mass_0016_2,9,79,100,1,"Domine Deus, Agnus Dei, Filius Patris.",,,,,,,,
,CRIM_Mass_0016,CRIM_Mass_0016_2,10,101,113,2,"Qui tollis peccata mundi, miserere nobis.",,,,,,,,
,CRIM_Mass_0016,CRIM_Mass_0016_2,11,111,131,2,"Qui tollis peccata mundi, suscipe deprecationem nostram.",,,,,,,,
,CRIM_Mass_0016,CRIM_Mass_0016_2,12,128,142,2,"Qui sedes ad dexteram Patris, miserere nobis.",,,,,,,,
,CRIM_Mass_0016,CRIM_Mass_0016_2,13,140,147,2,Quoniam tu solus sanctus.,,,,,,,,
,CRIM_Mass_0016,CRIM_Mass_0016_2,14,145,154,2,Tu solus Dominus.,,,,,,,,
,CRIM_Mass_0016,CRIM_Mass_0016_2,15,152,163,2,"Tu solus Altissimus, Iesu Christe.",,,,,,,,
,CRIM_Mass_0016,CRIM_Mass_0016_2,16,164,194,3,"Cum Sancto Spiritu, in gloria Dei Patris.",,,,,,,,
,CRIM_Mass_0016,CRIM_Mass_0016_2,17,190,198,3,Amen.,,,,,,,,
,CRIM_Mass_0016,CRIM_Mass_0016_3,1,1,16,1,"Patrem omnipotentem, factorem caeli et terrae, visibilium omnium, et invisibilium.",,,,,,,,
,CRIM_Mass_0016,CRIM_Mass_0016_3,2,14,32,1,"Et in unum Dominum Iesum Christum, Filium Dei unigenitum.",,,,,,,,
,CRIM_Mass_0016,CRIM_Mass_0016_3,3,30,42,1,Et ex Patre natum ante omnia saecula.,,,,,,,,
,CRIM_Mass_0016,CRIM_Mass_0016_3,4,39,56,1,"Deum de Deo, lumen de lumine, Deum verum de Deo vero.",,,,,,,,
,CRIM_Mass_0016,CRIM_Mass_0016_3,5,53,70,1,"Genitum, non factum, consubstantialem Patri:",,,,,,,,
,CRIM_Mass_0016,CRIM_Mass_0016_3,6,62,73,1,per quem omnia facta sunt.,,,,,,,,
,CRIM_Mass_0016,CRIM_Mass_0016_3,7,69,98,1,"Qui propter non homines, et propter nostram salutem descendit de caelis.",,,,,,,,
,CRIM_Mass_0016,CRIM_Mass_0016_3,8,99,120,2,Et incarnatus est de Spiritu Sancto ex Maria Virgine:,,,,,,,,
,CRIM_Mass_0016,CRIM_Mass_0016_3,9,116,123,2,Et homo factus est.,,,,,,,,
,CRIM_Mass_0016,CRIM_Mass_0016_3,10,121,128,2,Crucifixus etiam pro nobis: ,,,,,,,,
,CRIM_Mass_0016,CRIM_Mass_0016_3,11,126,137,2,"sub Pontio Pilato passus, et sepultus est.",,,,,,,,
,CRIM_Mass_0016,CRIM_Mass_0016_3,12,138,152,3,"Et resurrexit tertia die, secundum Scripturas.",,,,,,,,
,CRIM_Mass_0016,CRIM_Mass_0016_3,13,150,157,3,Et ascendit in caelum:,,,,,,,,
,CRIM_Mass_0016,CRIM_Mass_0016_3,14,154,162,3,sedet ad dexteram Patris.,,,,,,,,
,CRIM_Mass_0016,CRIM_Mass_0016_3,15,157,172,3,"Et iterum venturus est cum gloria, iudicare vivos et mortuos:",,,,,,,,
,CRIM_Mass_0016,CRIM_Mass_0016_3,16,170,177,3,cuius regni non erit finis.,,,,,,,,
,CRIM_Mass_0016,CRIM_Mass_0016_3,17,175,185,3,"Et in Spiritum Sanctum, Dominum, et vivificantem:",,,,,,,,
,CRIM_Mass_0016,CRIM_Mass_0016_3,18,183,189,3,qui ex Patre Filioque procedit.,,,,,,,,
,CRIM_Mass_0016,CRIM_Mass_0016_3,19,187,201,3,"Qui cum Patre et Filio simul adoratur, et conglorificatur: ",,,,,,,,
,CRIM_Mass_0016,CRIM_Mass_0016_3,20,199,206,3,qui locutus est per Prophetas.,,,,,,,,
,CRIM_Mass_0016,CRIM_Mass_0016_3,21,203,216,3,Et unam sanctam catholicam et apostolicam Ecclesiam.,,,,,,,,
,CRIM_Mass_0016,CRIM_Mass_0016_3,22,212,231,3,Confiteor unum baptisma in remissionem peccatorum.,,,,,,,,
,CRIM_Mass_0016,CRIM_Mass_0016_3,23,229,251,3,Et expecto resurrectionem mortuorum.,,,,,,,,
,CRIM_Mass_0016,CRIM_Mass_0016_3,24,250,260,3,Et vitam venturi saeculi.,,,,,,,,
,CRIM_Mass_0016,CRIM_Mass_0016_3,25,258,262,3,Amen.,,,,,,,,
,CRIM_Mass_0016,CRIM_Mass_0016_4,1,1,38,1,Sanctus Dominus Deus Sabaoth.,,,,,,,,
,CRIM_Mass_0016,CRIM_Mass_0016_4,2,39,67,2,Pleni sunt caeli et terra gloria tua.,,,,,,,,
,CRIM_Mass_0016,CRIM_Mass_0016_4,3,68,126,3,Hosanna in excelsis.,,,,,,,,
,CRIM_Mass_0016,CRIM_Mass_0016_4,4,127,154,4,Benedictus qui venit in nomine Domini.,,,,,,,,
,CRIM_Mass_0016,CRIM_Mass_0016_5,1,1,46,1,"Agnus Dei, qui tollis peccata mundi: ",,,,,,,,
,CRIM_Mass_0016,CRIM_Mass_0016_5,2,37,59,1,miserere nobis.,,,,,,,,
,CRIM_Mass_0016,CRIM_Mass_0016_5,3,60,75,2,"Agnus Dei, qui tollis peccata mundi: ",,,,,,,,
,CRIM_Mass_0016,CRIM_Mass_0016_5,4,75,94,2,miserere nobis.,,,,,,,,
,CRIM_Mass_0016,CRIM_Mass_0016_5,5,95,135,3,"Agnus Dei, qui tollis peccata mundi: ",,,,,,,,
,CRIM_Mass_0016,CRIM_Mass_0016_5,6,128,145,3,dona nobis pacem.,,,,,,,,
