CRIM_Phrase_ID,CRIM_Mass_ID,Mass_Section_ID,Section_Phrase_Number,Start_Measure,Stop_Measure,Part,Text,,,,,,,,
a preciser dans la liste complete!,CRIM_Mass_0013,CRIM_Mass_0013_1,1,1,25,1,Kyrie eleison.,,,,,,,,
,CRIM_Mass_0013,CRIM_Mass_0013_1,2,26,50,2,Christe eleison.,,,,,,,,
,CRIM_Mass_0013,CRIM_Mass_0013_1,3,51,81,3,Kyrie eleison.,,,,,,,,
,CRIM_Mass_0013,CRIM_Mass_0013_2,1,1,12,1,Et in terra pax hominibus bonae voluntatis.,,,,,,,,
,CRIM_Mass_0013,CRIM_Mass_0013_2,2,12,15,1,Laudamus te.,,,,,,,,
,CRIM_Mass_0013,CRIM_Mass_0013_2,3,14,20,1,Benedicimus te.,,,,,,,,
,CRIM_Mass_0013,CRIM_Mass_0013_2,4,17,24,1,Adoramus te.,,,,,,,,
,CRIM_Mass_0013,CRIM_Mass_0013_2,5,19,30,1,Glorificamus te.,,,,,,,,
,CRIM_Mass_0013,CRIM_Mass_0013_2,6,27,43,1,Gratias agimus tibi propter magnam gloriam tuam.,,,,,,,,
,CRIM_Mass_0013,CRIM_Mass_0013_2,7,39,52,1,"Domine Deus, Rex caelestis, Deus Pater omnipotens.",,,,,,,,
,CRIM_Mass_0013,CRIM_Mass_0013_2,8,50,65,1,Domine Fili unigenite Iesu Christe.,,,,,,,,
,CRIM_Mass_0013,CRIM_Mass_0013_2,9,63,78,1,"Domine Deus, Agnus Dei, Filius Patris.",,,,,,,,
,CRIM_Mass_0013,CRIM_Mass_0013_2,10,79,95,2,"Qui tollis peccata mundi, miserere nobis.",,,,,,,,
,CRIM_Mass_0013,CRIM_Mass_0013_2,11,91,106,2,"Qui tollis peccata mundi, suscipe deprecationem nostram.",,,,,,,,
,CRIM_Mass_0013,CRIM_Mass_0013_2,12,104,112,2,"Qui sedes ad dexteram Patris, miserere nobis.",,,,,,,,
,CRIM_Mass_0013,CRIM_Mass_0013_2,13,110,118,2,Quoniam tu solus sanctus.,,,,,,,,
,CRIM_Mass_0013,CRIM_Mass_0013_2,14,115,122,2,Tu solus Dominus.,,,,,,,,
,CRIM_Mass_0013,CRIM_Mass_0013_2,15,118,130,2,"Tu solus Altissimus, Iesu Christe.",,,,,,,,
,CRIM_Mass_0013,CRIM_Mass_0013_2,16,127,147,2,"Cum Sancto Spiritu, in gloria Dei Patris.",,,,,,,,
