CRIM_Phrase_ID,CRIM_Mass_ID,Mass_Section_ID,Section_Phrase_Number,Start_Measure,Stop_Measure,End of section,Text,,,,,,,,
a preciser dans la liste complete!,CRIM_Mass_0005,CRIM_Mass_0005_01,1,1,36,1,Kyrie eleison.,,,,,,,,
,CRIM_Mass_0005,CRIM_Mass_0005_01,2,37,64,2,Christe eleison.,,,,,,,,
,CRIM_Mass_0005,CRIM_Mass_0005_01,3,65,96,3,Kyrie eleison.,,,,,,,,
,CRIM_Mass_0005,CRIM_Mass_0005_02,1,1,13,1,Et in terra pax hominibus bonae voluntatis.,,,,,,,,
,CRIM_Mass_0005,CRIM_Mass_0005_02,2,12,14,1,Laudamus te.,,,,,,,,
,CRIM_Mass_0005,CRIM_Mass_0005_02,3,14,16,1,Benedicimus te.,,,,,,,,
,CRIM_Mass_0005,CRIM_Mass_0005_02,4,16,22,1,Adoramus te.,,,,,,,,
,CRIM_Mass_0005,CRIM_Mass_0005_02,5,22,31,1,Glorificamus te.,,,,,,,,
,CRIM_Mass_0005,CRIM_Mass_0005_02,6,31,40,1,Gratias agimus tibi propter magnam gloriam tuam.,,,,,,,,
,CRIM_Mass_0005,CRIM_Mass_0005_02,7,38,48,1,"Domine Deus, Rex caelestis, Deus Pater omnipotens.",,,,,,,,
,CRIM_Mass_0005,CRIM_Mass_0005_02,8,48,63,1,Domine Fili unigenite Iesu Christe.,,,,,,,,
,CRIM_Mass_0005,CRIM_Mass_0005_02,9,64,87,2,"Domine Deus, Agnus Dei, Filius Patris.",,,,,,,,
,CRIM_Mass_0005,CRIM_Mass_0005_02,10,88,100,3,"Qui tollis peccata mundi, miserere nobis.",,,,,,,,
,CRIM_Mass_0005,CRIM_Mass_0005_02,11,99,116,3,"Qui tollis peccata mundi, suscipe deprecationem nostram.",,,,,,,,
,CRIM_Mass_0005,CRIM_Mass_0005_02,12,116,124,3,"Qui sedes ad dexteram Patris, miserere nobis.",,,,,,,,
,CRIM_Mass_0005,CRIM_Mass_0005_02,13,124,129,3,Quoniam tu solus sanctus.,,,,,,,,
,CRIM_Mass_0005,CRIM_Mass_0005_02,14,127,132,3,Tu solus Dominus.,,,,,,,,
,CRIM_Mass_0005,CRIM_Mass_0005_02,15,133,142,3,"Tu solus Altissimus, Iesu Christe.",,,,,,,,
,CRIM_Mass_0005,CRIM_Mass_0005_02,16,143,152,3,"Cum Sancto Spiritu, in gloria Dei Patris.",,,,,,,,
,CRIM_Mass_0005,CRIM_Mass_0005_02,17,152,163,3,Amen.,,,,,,,,
,CRIM_Mass_0005,CRIM_Mass_0005_03,1,1,20,1,"Patrem omnipotentem, factorem caeli et terrae, visibilium omnium, et invisibilium.",,,,,,,,
,CRIM_Mass_0005,CRIM_Mass_0005_03,2,20,35,1,"Et in unum Dominum Iesum Christum, Filium Dei unigenitum.",,,,,,,,
,CRIM_Mass_0005,CRIM_Mass_0005_03,3,35,47,1,Et ex Patre natum ante omnia saecula.,,,,,,,,
,CRIM_Mass_0005,CRIM_Mass_0005_03,4,45,59,1,"Deum de Deo, lumen de lumine, Deum verum de Deo vero.",,,,,,,,
,CRIM_Mass_0005,CRIM_Mass_0005_03,5,58,69,1,"Genitum, non factum, consubstantialem Patri: ",,,,,,,,
,CRIM_Mass_0005,CRIM_Mass_0005_03,6,69,74,1,per quem omnia facta sunt.,,,,,,,,
,CRIM_Mass_0005,CRIM_Mass_0005_03,7,75,95,1,"Qui propter non homines, et propter nostram salutem descendit de caelis.",,,,,,,,
,CRIM_Mass_0005,CRIM_Mass_0005_03,8,96,110,2,Et incarnatus est de Spiritu Sancto ex Maria Virgine:,,,,,,,,
,CRIM_Mass_0005,CRIM_Mass_0005_03,9,109,119,2,Et homo factus est.,,,,,,,,
,CRIM_Mass_0005,CRIM_Mass_0005_03,10,120,128,3,Crucifixus etiam pro nobis:,,,,,,,,
