CRIM_Phrase_ID,CRIM_Mass_ID,Mass_Section_ID,Section_Phrase_Number,Start_Measure,Stop_Measure,End of section,Text,,,,,,,,
,CRIM_Mass_0002,CRIM_Mass_0002_03,21,135,147,3,Et unam sanctam catholicam et apostolicam Ecclesiam.,,,,,,,,
,CRIM_Mass_0002,CRIM_Mass_0002_03,22,146,158,3,Confiteor unum baptisma in remissionem peccatorum.,,,,,,,,
,CRIM_Mass_0002,CRIM_Mass_0002_03,23,157,169,3,Et expecto resurrectionem mortuorum.,,,,,,,,
,CRIM_Mass_0002,CRIM_Mass_0002_03,24,168,174,3,Et vitam venturi saeculi.,,,,,,,,
,CRIM_Mass_0002,CRIM_Mass_0002_03,25,173,179,3,Amen.,,,,,,,,
,CRIM_Mass_0002,CRIM_Mass_0002_04,1,1,25,1,Sanctus Dominus Deus Sabaoth.,,,,,,,,
,CRIM_Mass_0002,CRIM_Mass_0002_04,2,26,46,2,Pleni sunt caeli et terra gloria tua.,,,,,,,,
,CRIM_Mass_0002,CRIM_Mass_0002_04,3,47,73,3,Hosanna in excelsis.,,,,,,,,
,CRIM_Mass_0002,CRIM_Mass_0002_04,4,74,104,4,Benedictus qui venit in nomine Domini.,,,,,,,,
,CRIM_Mass_0002,CRIM_Mass_0002_05,1,1,22,1,"Agnus Dei, qui tollis peccata mundi: ",,,,,,,,
,CRIM_Mass_0002,CRIM_Mass_0002_05,2,20,33,1,miserere nobis.,,,,,,,,
,,,,,,,"Agnus Dei, qui tollis peccata mundi: ",,,,,,,,
,,,,,,,miserere nobis.,,,,,,,,
,CRIM_Mass_0002,CRIM_Mass_0002_05,3,34,62,2,"Agnus Dei, qui tollis peccata mundi: ",,,,,,,,
,CRIM_Mass_0002,CRIM_Mass_0002_05,4,58,72,2,dona nobis pacem.,,,,,,,,
