CRIM_Phrase_ID,CRIM_Mass_ID,Mass_Section_ID,Section_Phrase_Number,Start_Measure,Stop_Measure,End of section,Text,,,,,,,,
a preciser dans la liste complete!,CRIM_Mass_0010,CRIM_Mass_0010_01,1,1,11,1,Kyrie eleison.,,,,,,,,
,CRIM_Mass_0010,CRIM_Mass_0010_01,2,12,22,2,Christe eleison.,,,,,,,,
,CRIM_Mass_0010,CRIM_Mass_0010_01,3,23,33,3,Kyrie eleison.,,,,,,,,
,CRIM_Mass_0010,CRIM_Mass_0010_02,1,1,6,1,Et in terra pax hominibus bonae voluntatis.,,,,,,,,
,CRIM_Mass_0010,CRIM_Mass_0010_02,2,6,8,1,Laudamus te.,,,,,,,,
,CRIM_Mass_0010,CRIM_Mass_0010_02,3,7,9,1,Benedicimus te.,,,,,,,,
,CRIM_Mass_0010,CRIM_Mass_0010_02,4,8,11,1,Adoramus te.,,,,,,,,
,CRIM_Mass_0010,CRIM_Mass_0010_02,5,11,15,1,Glorificamus te.,,,,,,,,
,CRIM_Mass_0010,CRIM_Mass_0010_02,6,14,20,1,Gratias agimus tibi propter magnam gloriam tuam.,,,,,,,,
,CRIM_Mass_0010,CRIM_Mass_0010_02,7,20,28,1,"Domine Deus, Rex caelestis, Deus Pater omnipotens.",,,,,,,,
,CRIM_Mass_0010,CRIM_Mass_0010_02,8,28,35,1,Domine Fili unigenite Iesu Christe.,,,,,,,,
,CRIM_Mass_0010,CRIM_Mass_0010_02,9,36,45,2,"Domine Deus, Agnus Dei, Filius Patris.",,,,,,,,
,CRIM_Mass_0010,CRIM_Mass_0010_02,10,45,53,2,"Qui tollis peccata mundi, miserere nobis.",,,,,,,,
,CRIM_Mass_0010,CRIM_Mass_0010_02,11,54,66,3,"Qui tollis peccata mundi, suscipe deprecationem nostram.",,,,,,,,
,CRIM_Mass_0010,CRIM_Mass_0010_02,12,65,71,3,"Qui sedes ad dexteram Patris, miserere nobis.",,,,,,,,
,CRIM_Mass_0010,CRIM_Mass_0010_02,13,71,75,3,Quoniam tu solus sanctus.,,,,,,,,
,CRIM_Mass_0010,CRIM_Mass_0010_02,14,74,76,3,Tu solus Dominus.,,,,,,,,
,CRIM_Mass_0010,CRIM_Mass_0010_02,15,76,81,3,"Tu solus Altissimus, Iesu Christe.",,,,,,,,
,CRIM_Mass_0010,CRIM_Mass_0010_02,16,82,88,3,"Cum Sancto Spiritu, in gloria Dei Patris.",,,,,,,,
,CRIM_Mass_0010,CRIM_Mass_0010_02,17,86,92,3,Amen.,,,,,,,,
,CRIM_Mass_0010,CRIM_Mass_0010_03,1,1,12,1,"Patrem omnipotentem, factorem caeli et terrae, visibilium omnium, et invisibilium.",,,,,,,,
,CRIM_Mass_0010,CRIM_Mass_0010_03,2,11,20,1,"Et in unum Dominum Iesum Christum, Filium Dei unigenitum.",,,,,,,,
,CRIM_Mass_0010,CRIM_Mass_0010_03,3,20,25,1,Et ex Patre natum ante omnia saecula.,,,,,,,,
,CRIM_Mass_0010,CRIM_Mass_0010_03,4,25,35,1,"Deum de Deo, lumen de lumine, Deum verum de Deo vero.",,,,,,,,
,CRIM_Mass_0010,CRIM_Mass_0010_03,5,34,44,1,"Genitum, non factum, consubstantialem Patri: ",,,,,,,,
,CRIM_Mass_0010,CRIM_Mass_0010_03,6,39,43,1,per quem omnia facta sunt.,,,,,,,,
,CRIM_Mass_0010,CRIM_Mass_0010_03,7,43,54,1,"Qui propter non homines, et propter nostram salutem descendit de caelis.",,,,,,,,
,CRIM_Mass_0010,CRIM_Mass_0010_03,8,55,63,2,Et incarnatus est de Spiritu Sancto ex Maria Virgine:,,,,,,,,
,CRIM_Mass_0010,CRIM_Mass_0010_03,9,63,67,2,Et homo factus est.,,,,,,,,
,CRIM_Mass_0010,CRIM_Mass_0010_03,10,68,75,3,Crucifixus etiam pro nobis:,,,,,,,,
,CRIM_Mass_0010,CRIM_Mass_0010_03,11,75,85,3,"sub Pontio Pilato passus, et sepultus est.",,,,,,,,
