CRIM_Phrase_ID,CRIM_Mass_ID,Mass_Section_ID,Section_Phrase_Number,Start_Measure,Stop_Measure,End of section,Text,,,,,,,,
,CRIM_Mass_0010,CRIM_Mass_0010_03,12,85,92,3,"Et resurrexit tertia die, secundum Scripturas.",,,,,,,,
,CRIM_Mass_0010,CRIM_Mass_0010_03,13,92,96,3,Et ascendit in caelum: ,,,,,,,,
,CRIM_Mass_0010,CRIM_Mass_0010_03,14,96,100,3,sedet ad dexteram Patris.,,,,,,,,
,CRIM_Mass_0010,CRIM_Mass_0010_03,15,101,119,4,"Et iterum venturus est cum gloria, iudicare vivos et mortuos:",,,,,,,,
,CRIM_Mass_0010,CRIM_Mass_0010_03,16,119,130,4,cuius regni non erit finis.,,,,,,,,
,CRIM_Mass_0010,CRIM_Mass_0010_03,17,131,137,5,"Et in Spiritum Sanctum, Dominum, et vivificantem: ",,,,,,,,
,CRIM_Mass_0010,CRIM_Mass_0010_03,18,137,140,5,qui ex Patre Filioque procedit.,,,,,,,,
,CRIM_Mass_0010,CRIM_Mass_0010_03,19,139,146,5,"Qui cum Patre et Filio simul adoratur, et conglorificatur:",,,,,,,,
,CRIM_Mass_0010,CRIM_Mass_0010_03,20,147,150,5,qui locutus est per Prophetas.,,,,,,,,
,CRIM_Mass_0010,CRIM_Mass_0010_03,21,149,157,5,Et unam sanctam catholicam et apostolicam Ecclesiam.,,,,,,,,
,CRIM_Mass_0010,CRIM_Mass_0010_03,22,157,166,5,Confiteor unum baptisma in remissionem peccatorum.,,,,,,,,
,CRIM_Mass_0010,CRIM_Mass_0010_03,23,166,172,5,Et expecto resurrectionem mortuorum.,,,,,,,,
,CRIM_Mass_0010,CRIM_Mass_0010_03,24,172,177,5,Et vitam venturi saeculi.,,,,,,,,
,CRIM_Mass_0010,CRIM_Mass_0010_03,25,176,179,5,Amen.,,,,,,,,
,CRIM_Mass_0010,CRIM_Mass_0010_04,1,1,30,1,Sanctus Dominus Deus Sabaoth.,,,,,,,,
,CRIM_Mass_0010,CRIM_Mass_0010_04,2,31,56,2,Pleni sunt caeli et terra gloria tua.,,,,,,,,
,CRIM_Mass_0010,CRIM_Mass_0010_04,3,57,82,3,Hosanna in excelsis.,,,,,,,,
,CRIM_Mass_0010,CRIM_Mass_0010_04,4,83,108,4,Benedictus qui venit in nomine Domini.,,,,,,,,
,CRIM_Mass_0010,CRIM_Mass_0010_05,1,1,13,1,"Agnus Dei, qui tollis peccata mundi: ",,,,,,,,
,CRIM_Mass_0010,CRIM_Mass_0010_05,2,13,23,1,miserere nobis.,,,,,,,,
,CRIM_Mass_0010,CRIM_Mass_0010_05,3,24,33,2,"Agnus Dei, qui tollis peccata mundi: ",,,,,,,,
,CRIM_Mass_0010,CRIM_Mass_0010_05,4,33,45,2,miserere nobis.,,,,,,,,
,CRIM_Mass_0010,CRIM_Mass_0010_05,5,46,68,3,"Agnus Dei, qui tollis peccata mundi: ",,,,,,,,
,CRIM_Mass_0010,CRIM_Mass_0010_05,6,66,87,3,dona nobis pacem.,,,,,,,,
