CRIM_Phrase_ID,CRIM_Mass_ID,Mass_Section_ID,Section_Phrase_Number,Start_Measure,Stop_Measure,End of section,Text,,,,,,,,
a preciser dans la liste complete!,CRIM_Mass_0014,CRIM_Mass_0014_1,1,1,38,1,Kyrie eleison.,,,,,,,,
,CRIM_Mass_0014,CRIM_Mass_0014_1,2,39,74,2,Christe eleison.,,,,,,,,
,CRIM_Mass_0014,CRIM_Mass_0014_1,3,75,112,3,Kyrie eleison.,,,,,,,,
,CRIM_Mass_0014,CRIM_Mass_0014_2,1,1,13,1,Et in terra pax hominibus bonae voluntatis.,,,,,,,,
,CRIM_Mass_0014,CRIM_Mass_0014_2,2,13,16,1,Laudamus te.,,,,,,,,
,CRIM_Mass_0014,CRIM_Mass_0014_2,3,16,22,1,Benedicimus te.,,,,,,,,
,CRIM_Mass_0014,CRIM_Mass_0014_2,4,22,24,1,Adoramus te.,,,,,,,,
,CRIM_Mass_0014,CRIM_Mass_0014_2,5,24,29,1,Glorificamus te.,,,,,,,,
,CRIM_Mass_0014,CRIM_Mass_0014_2,6,30,41,1,Gratias agimus tibi propter magnam gloriam tuam.,,,,,,,,
,CRIM_Mass_0014,CRIM_Mass_0014_2,7,41,51,1,"Domine Deus, Rex caelestis, Deus Pater omnipotens.",,,,,,,,
,CRIM_Mass_0014,CRIM_Mass_0014_2,8,51,61,1,Domine Fili unigenite Iesu Christe.,,,,,,,,
,CRIM_Mass_0014,CRIM_Mass_0014_2,9,58,73,1,"Domine Deus, Agnus Dei, Filius Patris.",,,,,,,,
,CRIM_Mass_0014,CRIM_Mass_0014_2,10,74,91,2,"Qui tollis peccata mundi, miserere nobis.",,,,,,,,
,CRIM_Mass_0014,CRIM_Mass_0014_2,11,90,109,2,"Qui tollis peccata mundi, suscipe deprecationem nostram.",,,,,,,,
,CRIM_Mass_0014,CRIM_Mass_0014_2,12,109,118,2,"Qui sedes ad dexteram Patris, miserere nobis.",,,,,,,,
,CRIM_Mass_0014,CRIM_Mass_0014_2,13,118,123,2,[Quoniam] tu solus sanctus.,,,,,,,,
,CRIM_Mass_0014,CRIM_Mass_0014_2,14,124,127,2,Tu solus Dominus.,,,,,,,,
,CRIM_Mass_0014,CRIM_Mass_0014_2,15,128,135,2,"Tu solus Altissimus, Iesu Christe.",,,,,,,,
,CRIM_Mass_0014,CRIM_Mass_0014_2,16,136,153,2,"Cum Sancto Spiritu, in gloria Dei Patris.",,,,,,,,
,CRIM_Mass_0014,CRIM_Mass_0014_2,17,147,154,2,Amen.,,,,,,,,
,CRIM_Mass_0014,CRIM_Mass_0014_3,1,1,24,1,"Patrem omnipotentem, factorem caeli et terrae, visibilium omnium, et invisibilium.",,,,,,,,
,CRIM_Mass_0014,CRIM_Mass_0014_3,2,22,41,1,"Et in unum Dominum Iesum Christum, Filium Dei unigenitum.",,,,,,,,
,CRIM_Mass_0014,CRIM_Mass_0014_3,3,39,61,1,Et ex Patre natum ante omnia saecula.,,,,,,,,
,CRIM_Mass_0014,CRIM_Mass_0014_3,4,59,71,1,"Deum de Deo, lumen de lumine, Deum verum de Deo vero.",,,,,,,,
,CRIM_Mass_0014,CRIM_Mass_0014_3,5,72,81,1,"Genitum, non factum, consubstantialem Patri:",,,,,,,,
,CRIM_Mass_0014,CRIM_Mass_0014_3,6,80,84,1,per quem omnia facta sunt.,,,,,,,,
,CRIM_Mass_0014,CRIM_Mass_0014_3,7,84,100,1,"Qui propter non homines, et propter nostram salutem descendit de caelis.",,,,,,,,
,CRIM_Mass_0014,CRIM_Mass_0014_3,8,101,108,1,Et incarnatus est de Spiritu Sancto ex Maria Virgine:,,,,,,,,
,CRIM_Mass_0014,CRIM_Mass_0014_3,9,109,112,1,Et homo factus est.,,,,,,,,
,CRIM_Mass_0014,CRIM_Mass_0014_3,10,113,122,2,Crucifixus etiam pro nobis: ,,,,,,,,
,CRIM_Mass_0014,CRIM_Mass_0014_3,11,122,134,2,"sub Pontio Pilato passus, et sepultus est.",,,,,,,,
,CRIM_Mass_0014,CRIM_Mass_0014_3,12,135,150,3,"Et resurrexit tertia die, secundum Scripturas.",,,,,,,,
,CRIM_Mass_0014,CRIM_Mass_0014_3,13,150,154,3,Et ascendit in caelum:,,,,,,,,
,CRIM_Mass_0014,CRIM_Mass_0014_3,14,154,164,3,sedet ad dexteram Patris.,,,,,,,,
,CRIM_Mass_0014,CRIM_Mass_0014_3,15,165,184,3,"Et iterum venturus est cum gloria, iudicare vivos et mortuos:",,,,,,,,
,CRIM_Mass_0014,CRIM_Mass_0014_3,16,185,196,3,cuius regni non erit finis.,,,,,,,,
,CRIM_Mass_0014,CRIM_Mass_0014_3,17,197,218,4,"Et in Spiritum Sanctum, Dominum, et vivificantem:",,,,,,,,
,CRIM_Mass_0014,CRIM_Mass_0014_3,18,216,224,4,qui ex Patre Filioque procedit.,,,,,,,,
,CRIM_Mass_0014,CRIM_Mass_0014_3,19,224,232,4,"Qui cum Patre et Filio simul adoratur, et conglorificatur: ",,,,,,,,
,CRIM_Mass_0014,CRIM_Mass_0014_3,20,231,236,4,qui locutus est per Prophetas.,,,,,,,,
,CRIM_Mass_0014,CRIM_Mass_0014_3,21,235,246,4,Et unam sanctam catholicam et apostolicam Ecclesiam.,,,,,,,,
,CRIM_Mass_0014,CRIM_Mass_0014_3,22,245,267,4,Confiteor unum baptisma in remissionem peccatorum.,,,,,,,,
,CRIM_Mass_0014,CRIM_Mass_0014_3,23,267,274,4,Et expecto resurrectionem mortuorum.,,,,,,,,
,CRIM_Mass_0014,CRIM_Mass_0014_3,24,275,284,4,Et vitam venturi saeculi.,,,,,,,,
,CRIM_Mass_0014,CRIM_Mass_0014_3,25,281,286,4,Amen.,,,,,,,,
,CRIM_Mass_0014,CRIM_Mass_0014_4,1,1,47,1,Sanctus Dominus Deus Sabaoth.,,,,,,,,
,CRIM_Mass_0014,CRIM_Mass_0014_4,2,48,77,2,Pleni sunt caeli et terra gloria tua.,,,,,,,,
,CRIM_Mass_0014,CRIM_Mass_0014_4,3,78,107,3,Hosanna in excelsis.,,,,,,,,
,CRIM_Mass_0014,CRIM_Mass_0014_4,4,108,142,4,Benedictus qui venit in nomine Domini.,,,,,,,,
,CRIM_Mass_0014,CRIM_Mass_0014_5,1,1,33,1,"Agnus Dei, qui tollis peccata mundi: ",,,,,,,,
,CRIM_Mass_0014,CRIM_Mass_0014_5,2,30,44,1,miserere nobis.,,,,,,,,
,CRIM_Mass_0014,CRIM_Mass_0014_5,3,45,68,2,"Agnus Dei, qui tollis peccata mundi: ",,,,,,,,
,CRIM_Mass_0014,CRIM_Mass_0014_5,4,68,81,2,miserere nobis.,,,,,,,,
,CRIM_Mass_0014,CRIM_Mass_0014_5,5,82,115,3,"Agnus Dei, qui tollis peccata mundi: ",,,,,,,,
,CRIM_Mass_0014,CRIM_Mass_0014_5,6,109,126,3,dona nobis pacem.,,,,,,,,
