CRIM_Phrase_ID,CRIM_Mass_ID,Mass_Section_ID,Section_Phrase_Number,Start_Measure,Stop_Measure,End of section,Text,,,,,,,,
a preciser dans la liste complete!,CRIM_Mass_0011,CRIM_Mass_0011_1,1,1,7,1,Kyrie eleison.,,,,,,,,
,CRIM_Mass_0011,CRIM_Mass_0011_1,2,8,19,2,Christe eleison.,,,,,,,,
,CRIM_Mass_0011,CRIM_Mass_0011_1,3,20,29,3,Kyrie eleison.,,,,,,,,
,CRIM_Mass_0011,CRIM_Mass_0011_2,1,1,6,1,Et in terra pax hominibus bonae voluntatis.,,,,,,,,
,CRIM_Mass_0011,CRIM_Mass_0011_2,2,5,7,1,Laudamus te.,,,,,,,,
,CRIM_Mass_0011,CRIM_Mass_0011_2,3,6,9,1,Benedicimus te.,,,,,,,,
,CRIM_Mass_0011,CRIM_Mass_0011_2,4,8,10,1,Adoramus te.,,,,,,,,
,CRIM_Mass_0011,CRIM_Mass_0011_2,5,9,14,1,Glorificamus te.,,,,,,,,
,CRIM_Mass_0011,CRIM_Mass_0011_2,6,13,23,1,Gratias agimus tibi propter magnam gloriam tuam.,,,,,,,,
,CRIM_Mass_0011,CRIM_Mass_0011_2,7,22,33,1,"Domine Deus, Rex caelestis, Deus Pater omnipotens.",,,,,,,,
,CRIM_Mass_0011,CRIM_Mass_0011_2,8,32,43,1,Domine Fili unigenite Iesu Christe.,,,,,,,,
,CRIM_Mass_0011,CRIM_Mass_0011_2,9,42,51,1,"Domine Deus, Agnus Dei, Filius Patris.",,,,,,,,
,CRIM_Mass_0011,CRIM_Mass_0011_2,10,50,57,1,"Qui tollis peccata mundi, miserere nobis.",,,,,,,,
,CRIM_Mass_0011,CRIM_Mass_0011_2,11,56,64,1,"Qui tollis peccata mundi, suscipe deprecationem nostram.",,,,,,,,
,CRIM_Mass_0011,CRIM_Mass_0011_2,12,64,69,1,"Qui sedes ad dexteram Patris, miserere nobis.",,,,,,,,
,CRIM_Mass_0011,CRIM_Mass_0011_2,13,69,71,1,Quoniam tu solus sanctus.,,,,,,,,
,CRIM_Mass_0011,CRIM_Mass_0011_2,14,70,73,1,Tu solus Dominus.,,,,,,,,
,CRIM_Mass_0011,CRIM_Mass_0011_2,15,72,79,1,"Tu solus Altissimus, Iesu Christe.",,,,,,,,
,CRIM_Mass_0011,CRIM_Mass_0011_2,16,79,89,1,"Cum Sancto Spiritu, in gloria Dei Patris.",,,,,,,,
,CRIM_Mass_0011,CRIM_Mass_0011_2,17,85,90,1,Amen.,,,,,,,,
,CRIM_Mass_0011,CRIM_Mass_0011_3,1,1,9,1,"Patrem omnipotentem, factorem caeli et terrae, visibilium omnium, et invisibilium.",,,,,,,,
,CRIM_Mass_0011,CRIM_Mass_0011_3,2,7,16,1,"Et in unum Dominum Iesum Christum, Filium Dei unigenitum.",,,,,,,,
,CRIM_Mass_0011,CRIM_Mass_0011_3,3,16,20,1,Et ex Patre natum ante omnia saecula.,,,,,,,,
,CRIM_Mass_0011,CRIM_Mass_0011_3,4,19,25,1,"Deum de Deo, lumen de lumine, Deum verum de Deo vero.",,,,,,,,
,CRIM_Mass_0011,CRIM_Mass_0011_3,5,25,30,1,"Genitum, non factum, consubstantialem Patri:",,,,,,,,
,CRIM_Mass_0011,CRIM_Mass_0011_3,6,29,33,1,per quem omnia facta sunt.,,,,,,,,
,CRIM_Mass_0011,CRIM_Mass_0011_3,7,32,39,1,"Qui propter non homines, et propter nostram salutem descendit de caelis.",,,,,,,,
,CRIM_Mass_0011,CRIM_Mass_0011_3,8,39,45,1,Et incarnatus est de Spiritu Sancto ex Maria Virgine:,,,,,,,,
,CRIM_Mass_0011,CRIM_Mass_0011_3,9,44,46,1,Et homo factus est.,,,,,,,,
,CRIM_Mass_0011,CRIM_Mass_0011_3,10,47,51,2,Crucifixus etiam pro nobis: ,,,,,,,,
,CRIM_Mass_0011,CRIM_Mass_0011_3,11,49,55,2,"sub Pontio Pilato passus, et sepultus est.",,,,,,,,
,CRIM_Mass_0011,CRIM_Mass_0011_3,12,54,60,2,"Et resurrexit tertia die, secundum Scripturas.",,,,,,,,
,CRIM_Mass_0011,CRIM_Mass_0011_3,13,58,62,2,Et ascendit in caelum:,,,,,,,,
,CRIM_Mass_0011,CRIM_Mass_0011_3,14,60,64,2,sedet ad dexteram Patris.,,,,,,,,
,CRIM_Mass_0011,CRIM_Mass_0011_3,15,62,68,2,"Et iterum venturus est cum gloria, iudicare vivos et mortuos:",,,,,,,,
,CRIM_Mass_0011,CRIM_Mass_0011_3,16,68,72,2,cuius regni non erit finis.,,,,,,,,
,CRIM_Mass_0011,CRIM_Mass_0011_3,17,71,79,2,"Et in Spiritum Sanctum, Dominum, et vivificantem:",,,,,,,,
,CRIM_Mass_0011,CRIM_Mass_0011_3,18,77,82,2,qui ex Patre Filioque procedit.,,,,,,,,
,CRIM_Mass_0011,CRIM_Mass_0011_3,19,81,92,2,"Qui cum Patre et Filio simul adoratur, et conglorificatur: ",,,,,,,,
,CRIM_Mass_0011,CRIM_Mass_0011_3,20,92,95,2,qui locutus est per Prophetas.,,,,,,,,
,CRIM_Mass_0011,CRIM_Mass_0011_3,21,94,100,2,Et unam sanctam catholicam et apostolicam Ecclesiam.,,,,,,,,
,CRIM_Mass_0011,CRIM_Mass_0011_3,22,101,108,2,Confiteor unum baptisma in remissionem peccatorum.,,,,,,,,
,CRIM_Mass_0011,CRIM_Mass_0011_3,23,106,113,2,Et expecto resurrectionem mortuorum.,,,,,,,,
,CRIM_Mass_0011,CRIM_Mass_0011_3,24,112,118,2,Et vitam venturi saeculi.,,,,,,,,
