CRIM_Phrase_ID,CRIM_Mass_ID,Mass_Section_ID,Section_Phrase_Number,Start_Measure,Stop_Measure,Part,Text,,,,,,,,
a preciser dans la liste complete!,CRIM_Mass_0008,CRIM_Mass_0008_1,1,1,24,1,Kyrie eleison.,,,,,,,,
,CRIM_Mass_0008,CRIM_Mass_0008_1,2,25,49,2,Christe eleison.,,,,,,,,
,CRIM_Mass_0008,CRIM_Mass_0008_1,3,50,78,3,Kyrie eleison.,,,,,,,,
,CRIM_Mass_0008,CRIM_Mass_0008_2,1,1,14,1,Et in terra pax hominibus bonae voluntatis.,,,,,,,,
,CRIM_Mass_0008,CRIM_Mass_0008_2,2,13,17,1,Laudamus te.,,,,,,,,
,CRIM_Mass_0008,CRIM_Mass_0008_2,3,16,19,1,Benedicimus te.,,,,,,,,
,CRIM_Mass_0008,CRIM_Mass_0008_2,4,19,21,1,Adoramus te.,,,,,,,,
,CRIM_Mass_0008,CRIM_Mass_0008_2,5,21,24,1,Glorificamus te.,,,,,,,,
,CRIM_Mass_0008,CRIM_Mass_0008_2,6,23,33,1,Gratias agimus tibi propter magnam gloriam tuam.,,,,,,,,
,CRIM_Mass_0008,CRIM_Mass_0008_2,7,31,40,1,"Domine Deus, Rex caelestis, Deus Pater omnipotens.",,,,,,,,
,CRIM_Mass_0008,CRIM_Mass_0008_2,8,39,48,1,Domine Fili unigenite Iesu Christe.,,,,,,,,
,CRIM_Mass_0008,CRIM_Mass_0008_2,9,49,64,2,"Domine Deus, Agnus Dei, Filius Patris.",,,,,,,,
,CRIM_Mass_0008,CRIM_Mass_0008_2,10,63,76,2,"Qui tollis peccata mundi, miserere nobis.",,,,,,,,
,CRIM_Mass_0008,CRIM_Mass_0008_2,11,77,90,3,"Qui tollis peccata mundi, suscipe deprecationem nostram.",,,,,,,,
,CRIM_Mass_0008,CRIM_Mass_0008_2,12,88,100,3,"Qui sedes ad dexteram Patris, miserere nobis.",,,,,,,,
,CRIM_Mass_0008,CRIM_Mass_0008_2,13,98,104,3,Quoniam tu solus sanctus.,,,,,,,,
,CRIM_Mass_0008,CRIM_Mass_0008_2,14,102,105,3,Tu solus Dominus.,,,,,,,,
,CRIM_Mass_0008,CRIM_Mass_0008_2,15,105,113,3,"Tu solus Altissimus, Iesu Christe.",,,,,,,,
,CRIM_Mass_0008,CRIM_Mass_0008_2,16,112,130,3,"Cum Sancto Spiritu, in gloria Dei Patris.",,,,,,,,
,CRIM_Mass_0008,CRIM_Mass_0008_2,17,123,131,3,Amen.,,,,,,,,
,CRIM_Mass_0008,CRIM_Mass_0008_3,1,1,21,1,"Patrem omnipotentem, factorem caeli et terrae, visibilium omnium, et invisibilium.",,,,,,,,
,CRIM_Mass_0008,CRIM_Mass_0008_3,2,20,31,1,"Et in unum Dominum Iesum Christum, Filium Dei unigenitum.",,,,,,,,
,CRIM_Mass_0008,CRIM_Mass_0008_3,3,30,36,1,Et ex Patre natum ante omnia saecula.,,,,,,,,
,CRIM_Mass_0008,CRIM_Mass_0008_3,4,35,44,1,"Deum de Deo, lumen de lumine, Deum verum de Deo vero.",,,,,,,,
,CRIM_Mass_0008,CRIM_Mass_0008_3,5,43,54,1,"Genitum, non factum, consubstantialem Patri:",,,,,,,,
,CRIM_Mass_0008,CRIM_Mass_0008_3,6,53,58,1,per quem omnia facta sunt.,,,,,,,,
,CRIM_Mass_0008,CRIM_Mass_0008_3,7,58,72,1,"Qui propter non homines, et propter nostram salutem descendit de caelis.",,,,,,,,
,CRIM_Mass_0008,CRIM_Mass_0008_3,8,71,82,1,Et incarnatus est de Spiritu Sancto ex Maria Virgine:,,,,,,,,
,CRIM_Mass_0008,CRIM_Mass_0008_3,9,80,89,1,Et homo factus est.,,,,,,,,
,CRIM_Mass_0008,CRIM_Mass_0008_3,10,90,96,2,Crucifixus etiam pro nobis:,,,,,,,,
,CRIM_Mass_0008,CRIM_Mass_0008_3,11,96,104,2,"sub Pontio Pilato passus, et sepultus est.",,,,,,,,
,CRIM_Mass_0008,CRIM_Mass_0008_3,12,103,111,2,"Et resurrexit tertia die, secundum Scripturas.",,,,,,,,
,CRIM_Mass_0008,CRIM_Mass_0008_3,13,111,115,2,Et ascendit in caelum:,,,,,,,,
,CRIM_Mass_0008,CRIM_Mass_0008_3,14,114,119,2,sedet ad dexteram Patris.,,,,,,,,
,CRIM_Mass_0008,CRIM_Mass_0008_3,15,120,132,3,"Et iterum venturus est cum gloria, iudicare vivos et mortuos:",,,,,,,,
,CRIM_Mass_0008,CRIM_Mass_0008_3,16,131,137,3,cuius regni non erit finis.,,,,,,,,
,CRIM_Mass_0008,CRIM_Mass_0008_3,17,138,145,4,"Et in Spiritum Sanctum, Dominum, et vivificantem:",,,,,,,,
,CRIM_Mass_0008,CRIM_Mass_0008_3,18,144,151,4,qui ex Patre Filioque procedit.,,,,,,,,
,CRIM_Mass_0008,CRIM_Mass_0008_3,19,150,162,4,"Qui cum Patre et Filio simul adoratur, et conglorificatur:",,,,,,,,
,CRIM_Mass_0008,CRIM_Mass_0008_3,20,161,168,4,qui locutus est per Prophetas.,,,,,,,,
,CRIM_Mass_0008,CRIM_Mass_0008_3,21,168,176,4,Et unam sanctam catholicam et apostolicam Ecclesiam.,,,,,,,,
,CRIM_Mass_0008,CRIM_Mass_0008_3,22,175,187,4,Confiteor unum baptisma in remissionem peccatorum.,,,,,,,,
,CRIM_Mass_0008,CRIM_Mass_0008_3,23,186,195,4,Et expecto resurrectionem mortuorum.,,,,,,,,
,CRIM_Mass_0008,CRIM_Mass_0008_3,24,194,198,4,Et vitam venturi saeculi.,,,,,,,,
,CRIM_Mass_0008,CRIM_Mass_0008_3,25,198,203,4,Amen.,,,,,,,,
,CRIM_Mass_0008,CRIM_Mass_0008_4,1,1,27,1,Sanctus Dominus Deus Sabaoth.,,,,,,,,
,CRIM_Mass_0008,CRIM_Mass_0008_4,2,28,49,2,Pleni sunt caeli et terra gloria tua.,,,,,,,,
,CRIM_Mass_0008,CRIM_Mass_0008_4,3,50,79,3,Hosanna in excelsis.,,,,,,,,
,CRIM_Mass_0008,CRIM_Mass_0008_4,4,80,113,4,Benedictus qui venit in nomine Domini.,,,,,,,,
,CRIM_Mass_0008,CRIM_Mass_0008_5,1,1,30,1,"Agnus Dei, qui tollis peccata mundi:",,,,,,,,
,CRIM_Mass_0008,CRIM_Mass_0008_5,2,28,40,1,miserere nobis.,,,,,,,,
,CRIM_Mass_0008,CRIM_Mass_0008_5,3,41,51,2,"Agnus Dei, qui tollis peccata mundi:",,,,,,,,
,CRIM_Mass_0008,CRIM_Mass_0008_5,4,51,63,2,miserere nobis.,,,,,,,,
,CRIM_Mass_0008,CRIM_Mass_0008_5,5,64,92,3,"Agnus Dei, qui tollis peccata mundi:",,,,,,,,
,CRIM_Mass_0008,CRIM_Mass_0008_5,6,91,107,3,dona nobis pacem.,,,,,,,,
