CRIM_Phrase_ID,CRIM_Mass_ID,Mass_Section_ID,Section_Phrase_Number,Start_Measure,Stop_Measure,Part,Text,,,,,,,,
a preciser dans la liste complete!,CRIM_Mass_0012,CRIM_Mass_0012_1,1,1,16,1,Kyrie eleison.,,,,,,,,
,CRIM_Mass_0012,CRIM_Mass_0012_1,2,17,35,2,Christe eleison.,,,,,,,,
,CRIM_Mass_0012,CRIM_Mass_0012_1,3,36,58,3,Kyrie eleison.,,,,,,,,
,CRIM_Mass_0012,CRIM_Mass_0012_2,1,1,10,1,Et in terra pax hominibus bonae voluntatis.,,,,,,,,
,CRIM_Mass_0012,CRIM_Mass_0012_2,2,9,12,1,Laudamus te.,,,,,,,,
,CRIM_Mass_0012,CRIM_Mass_0012_2,3,10,12,1,Benedicimus te.,,,,,,,,
,CRIM_Mass_0012,CRIM_Mass_0012_2,4,12,16,1,Adoramus te.,,,,,,,,
,CRIM_Mass_0012,CRIM_Mass_0012_2,5,14,19,1,Glorificamus te.,,,,,,,,
,CRIM_Mass_0012,CRIM_Mass_0012_2,6,19,30,1,Gratias agimus tibi propter magnam gloriam tuam.,,,,,,,,
,CRIM_Mass_0012,CRIM_Mass_0012_2,7,29,37,1,"Domine Deus, Rex caelestis, Deus Pater omnipotens.",,,,,,,,
,CRIM_Mass_0012,CRIM_Mass_0012_2,8,38,46,1,Domine Fili unigenite Iesu Christe.,,,,,,,,
,CRIM_Mass_0012,CRIM_Mass_0012_2,9,47,66,2,"Domine Deus, Agnus Dei, Filius Patris.",,,,,,,,
,CRIM_Mass_0012,CRIM_Mass_0012_2,10,67,76,3,"Qui tollis peccata mundi, miserere nobis.",,,,,,,,
,CRIM_Mass_0012,CRIM_Mass_0012_2,11,76,85,3,"Qui tollis peccata mundi, suscipe deprecationem nostram.",,,,,,,,
,CRIM_Mass_0012,CRIM_Mass_0012_2,12,84,91,3,"Qui sedes ad dexteram Patris, miserere nobis.",,,,,,,,
,CRIM_Mass_0012,CRIM_Mass_0012_2,13,91,97,3,Quoniam tu solus sanctus.,,,,,,,,
,CRIM_Mass_0012,CRIM_Mass_0012_2,14,95,100,3,Tu solus Dominus.,,,,,,,,
,CRIM_Mass_0012,CRIM_Mass_0012_2,15,98,108,3,"Tu solus Altissimus, Iesu Christe.",,,,,,,,
,CRIM_Mass_0012,CRIM_Mass_0012_2,16,107,126,3,"Cum Sancto Spiritu, in gloria Dei Patris.",,,,,,,,
,CRIM_Mass_0012,CRIM_Mass_0012_2,17,119,127,3,Amen.,,,,,,,,
,CRIM_Mass_0012,CRIM_Mass_0012_3,1,1,16,1,"Patrem omnipotentem, factorem caeli et terrae, visibilium omnium, et invisibilium.",,,,,,,,
,CRIM_Mass_0012,CRIM_Mass_0012_3,2,16,27,1,"Et in unum Dominum Iesum Christum, Filium Dei unigenitum.",,,,,,,,
,CRIM_Mass_0012,CRIM_Mass_0012_3,3,26,33,1,Et ex Patre natum ante omnia saecula.,,,,,,,,
,CRIM_Mass_0012,CRIM_Mass_0012_3,4,31,40,1,"Deum de Deo, lumen de lumine, Deum verum de Deo vero.",,,,,,,,
,CRIM_Mass_0012,CRIM_Mass_0012_3,5,40,46,1,"Genitum, non factum, consubstantialem Patri:",,,,,,,,
,CRIM_Mass_0012,CRIM_Mass_0012_3,6,46,51,1,per quem omnia facta sunt.,,,,,,,,
,CRIM_Mass_0012,CRIM_Mass_0012_3,7,50,58,1,"Qui propter non homines, et propter nostram salutem descendit de caelis.",,,,,,,,
,CRIM_Mass_0012,CRIM_Mass_0012_3,8,55,63,1,Et incarnatus est de Spiritu Sancto ex Maria Virgine:,,,,,,,,
,CRIM_Mass_0012,CRIM_Mass_0012_3,9,62,68,1,Et homo factus est.,,,,,,,,
,CRIM_Mass_0012,CRIM_Mass_0012_3,10,69,76,2,Crucifixus etiam pro nobis:,,,,,,,,
,CRIM_Mass_0012,CRIM_Mass_0012_3,11,76,91,2,"sub Pontio Pilato passus, et sepultus est.",,,,,,,,
,CRIM_Mass_0012,CRIM_Mass_0012_3,12,92,106,3,"Et resurrexit tertia die, secundum Scripturas.",,,,,,,,
,CRIM_Mass_0012,CRIM_Mass_0012_3,13,104,112,3,Et ascendit in caelum:,,,,,,,,
,CRIM_Mass_0012,CRIM_Mass_0012_3,14,111,124,3,sedet ad dexteram Patris.,,,,,,,,
,CRIM_Mass_0012,CRIM_Mass_0012_3,15,125,136,4,"Et iterum venturus est cum gloria, iudicare vivos et mortuos:",,,,,,,,
,CRIM_Mass_0012,CRIM_Mass_0012_3,16,136,141,4,cuius regni non erit finis.,,,,,,,,
,CRIM_Mass_0012,CRIM_Mass_0012_3,17,141,148,4,"Et in Spiritum Sanctum, Dominum, et vivificantem:",,,,,,,,
,CRIM_Mass_0012,CRIM_Mass_0012_3,18,147,151,4,qui ex Patre Filioque procedit.,,,,,,,,
,CRIM_Mass_0012,CRIM_Mass_0012_3,19,149,159,4,"Qui cum Patre et Filio simul adoratur, et conglorificatur:",,,,,,,,
,CRIM_Mass_0012,CRIM_Mass_0012_3,20,159,162,4,qui locutus est per Prophetas.,,,,,,,,
,CRIM_Mass_0012,CRIM_Mass_0012_3,21,162,168,4,Et unam sanctam catholicam et apostolicam Ecclesiam.,,,,,,,,
,CRIM_Mass_0012,CRIM_Mass_0012_3,22,166,173,4,Confiteor unum baptisma in remissionem peccatorum.,,,,,,,,
,CRIM_Mass_0012,CRIM_Mass_0012_3,23,172,180,4,Et expecto resurrectionem mortuorum.,,,,,,,,
,CRIM_Mass_0012,CRIM_Mass_0012_3,24,179,192,4,Et vitam venturi saeculi.,,,,,,,,
,CRIM_Mass_0012,CRIM_Mass_0012_3,25,189,194,4,Amen.,,,,,,,,
,CRIM_Mass_0012,CRIM_Mass_0012_4,1,1,25,1,Sanctus Dominus Deus Sabaoth.,,,,,,,,
,CRIM_Mass_0012,CRIM_Mass_0012_4,2,26,48,2,Pleni sunt caeli et terra gloria tua.,,,,,,,,
,CRIM_Mass_0012,CRIM_Mass_0012_4,3,49,66,3,Hosanna in excelsis.,,,,,,,,
,CRIM_Mass_0012,CRIM_Mass_0012_4,4,67,90,4,Benedictus qui venit in nomine Domini.,,,,,,,,
,CRIM_Mass_0012,CRIM_Mass_0012_5,1,1,19,1,"Agnus Dei, qui tollis peccata mundi:",,,,,,,,
,CRIM_Mass_0012,CRIM_Mass_0012_5,2,20,30,1,miserere nobis.,,,,,,,,
,,,,,,,"Agnus Dei, qui tollis peccata mundi:",,,,,,,,
,,,,,,,miserere nobis.,,,,,,,,
,,,,,,,"Agnus Dei, qui tollis peccata mundi:",,,,,,,,
,,,,,,,dona nobis pacem.,,,,,,,,
