CRIM_Phrase_ID,CRIM_Mass_ID,Mass_Section_ID,Section_Phrase_Number,Start_Measure,Stop_Measure,Part,Text,,,,,,,,
a preciser dans la liste complete!,CRIM_Mass_0017,CRIM_Mass_0017_1,1,1,38,1,Kyrie eleison.,,,,,,,,
,CRIM_Mass_0017,CRIM_Mass_0017_1,2,39,69,2,Christe eleison.,,,,,,,,
,CRIM_Mass_0017,CRIM_Mass_0017_1,3,70,107,3,Kyrie eleison.,,,,,,,,
,CRIM_Mass_0017,CRIM_Mass_0017_2,1,1,14,1,Et in terra pax hominibus bonae voluntatis.,,,,,,,,
,CRIM_Mass_0017,CRIM_Mass_0017_2,2,11,18,1,Laudamus te.,,,,,,,,
,CRIM_Mass_0017,CRIM_Mass_0017_2,3,16,24,1,Benedicimus te.,,,,,,,,
,CRIM_Mass_0017,CRIM_Mass_0017_2,4,21,27,1,Adoramus te.,,,,,,,,
,CRIM_Mass_0017,CRIM_Mass_0017_2,5,25,27,1,Glorificamus te.,,,,,,,,
,CRIM_Mass_0017,CRIM_Mass_0017_2,6,27,44,1,Gratias agimus tibi propter magnam gloriam tuam.,,,,,,,,
,CRIM_Mass_0017,CRIM_Mass_0017_2,7,43,60,1,"Domine Deus, Rex caelestis, Deus Pater omnipotens.",,,,,,,,
,CRIM_Mass_0017,CRIM_Mass_0017_2,8,51,68,1,Domine Fili unigenite Iesu Christe.,,,,,,,,
,CRIM_Mass_0017,CRIM_Mass_0017_2,9,57,75,1,"Domine Deus, Agnus Dei, Filius Patris.",,,,,,,,
,CRIM_Mass_0017,CRIM_Mass_0017_2,10,76,91,2,"Qui tollis peccata mundi, miserere nobis.",,,,,,,,
,CRIM_Mass_0017,CRIM_Mass_0017_2,11,90,102,2,"Qui tollis peccata mundi, suscipe deprecationem nostram.",,,,,,,,
,CRIM_Mass_0017,CRIM_Mass_0017_2,12,100,115,2,"Qui sedes ad dexteram Patris, miserere nobis.",,,,,,,,
,CRIM_Mass_0017,CRIM_Mass_0017_2,13,114,117,2,Quoniam tu solus sanctus.,,,,,,,,
,CRIM_Mass_0017,CRIM_Mass_0017_2,14,115,124,2,Tu solus Dominus.,,,,,,,,
,CRIM_Mass_0017,CRIM_Mass_0017_2,15,122,134,2,"Tu solus Altissimus, Iesu Christe.",,,,,,,,
,CRIM_Mass_0017,CRIM_Mass_0017_2,16,131,151,2,"Cum Sancto Spiritu, in gloria Dei Patris.",,,,,,,,
