CRIM_Phrase_ID,CRIM_Mass_ID,Mass_Section_ID,Section_Phrase_Number,Start_Measure,Stop_Measure,Part,Text,,,,,,,,
a preciser dans la liste complete!,CRIM_Mass_0006,CRIM_Mass_0006_1,1,1,14,1,Kyrie eleison.,,,,,,,,
,CRIM_Mass_0006,CRIM_Mass_0006_1,2,15,36,2,Christe eleison.,,,,,,,,
,CRIM_Mass_0006,CRIM_Mass_0006_1,3,37,63,3,Kyrie eleison.,,,,,,,,
,CRIM_Mass_0006,CRIM_Mass_0006_2,1,1,9,1,Et in terra pax hominibus bonae voluntatis.,,,,,,,,
,CRIM_Mass_0006,CRIM_Mass_0006_2,2,9,11,1,Laudamus te.,,,,,,,,
,CRIM_Mass_0006,CRIM_Mass_0006_2,3,10,12,1,Benedicimus te.,,,,,,,,
,CRIM_Mass_0006,CRIM_Mass_0006_2,4,12,14,1,Adoramus te.,,,,,,,,
,CRIM_Mass_0006,CRIM_Mass_0006_2,5,13,18,1,Glorificamus te.,,,,,,,,
,CRIM_Mass_0006,CRIM_Mass_0006_2,6,17,24,1,Gratias agimus tibi propter magnam gloriam tuam.,,,,,,,,
,CRIM_Mass_0006,CRIM_Mass_0006_2,7,23,27,1,"Domine Deus, Rex caelestis, Deus Pater omnipotens.",,,,,,,,
,CRIM_Mass_0006,CRIM_Mass_0006_2,8,27,33,1,Domine Fili unigenite Iesu Christe.,,,,,,,,
,CRIM_Mass_0006,CRIM_Mass_0006_2,9,33,42,1,"Domine Deus, Agnus Dei, Filius Patris.",,,,,,,,
,CRIM_Mass_0006,CRIM_Mass_0006_2,10,40,50,1,"Qui tollis peccata mundi, miserere nobis.",,,,,,,,
,CRIM_Mass_0006,CRIM_Mass_0006_2,11,48,60,1,"Qui tollis peccata mundi, suscipe deprecationem nostram.",,,,,,,,
,CRIM_Mass_0006,CRIM_Mass_0006_2,12,60,67,1,"Qui sedes ad dexteram Patris, miserere nobis.",,,,,,,,
,CRIM_Mass_0006,CRIM_Mass_0006_2,13,66,71,1,Quoniam tu solus sanctus.,,,,,,,,
