CRIM_Phrase_ID,CRIM_Mass_ID,Mass_Section_ID,Section_Phrase_Number,Start_Measure,Stop_Measure,Part,Text,,,,,,,,
a preciser dans la liste complete!,CRIM_Mass_0015,CRIM_Mass_0015_1,1,1,39,1,Kyrie eleison.,,,,,,,,
,CRIM_Mass_0015,CRIM_Mass_0015_1,2,40,67,2,Christe eleison.,,,,,,,,
,CRIM_Mass_0015,CRIM_Mass_0015_1,3,68,100,3,Kyrie eleison.,,,,,,,,
,CRIM_Mass_0015,CRIM_Mass_0015_2,1,1,22,1,Et in terra pax hominibus bonae voluntatis.,,,,,,,,
,CRIM_Mass_0015,CRIM_Mass_0015_2,2,21,23,1,Laudamus te.,,,,,,,,
,CRIM_Mass_0015,CRIM_Mass_0015_2,3,23,26,1,Benedicimus te.,,,,,,,,
,CRIM_Mass_0015,CRIM_Mass_0015_2,4,25,27,1,Adoramus te.,,,,,,,,
,CRIM_Mass_0015,CRIM_Mass_0015_2,5,27,30,1,Glorificamus te.,,,,,,,,
,CRIM_Mass_0015,CRIM_Mass_0015_2,6,29,42,1,Gratias agimus tibi propter magnam gloriam tuam.,,,,,,,,
,CRIM_Mass_0015,CRIM_Mass_0015_2,7,41,50,1,"Domine Deus, Rex caelestis, Deus Pater omnipotens.",,,,,,,,
,CRIM_Mass_0015,CRIM_Mass_0015_2,8,49,59,1,Domine Fili unigenite Iesu Christe.,,,,,,,,
,CRIM_Mass_0015,CRIM_Mass_0015_2,9,57,69,1,"Domine Deus, Agnus Dei, Filius Patris.",,,,,,,,
,CRIM_Mass_0015,CRIM_Mass_0015_2,10,70,82,2,"Qui tollis peccata mundi, miserere nobis.",,,,,,,,
,CRIM_Mass_0015,CRIM_Mass_0015_2,11,81,98,2,"Qui tollis peccata mundi, suscipe deprecationem nostram.",,,,,,,,
,CRIM_Mass_0015,CRIM_Mass_0015_2,12,98,111,2,"Qui sedes ad dexteram Patris, miserere nobis.",,,,,,,,
,CRIM_Mass_0015,CRIM_Mass_0015_2,13,110,117,2,Quoniam tu solus sanctus.,,,,,,,,
,CRIM_Mass_0015,CRIM_Mass_0015_2,14,115,124,2,Tu solus Dominus.,,,,,,,,
,CRIM_Mass_0015,CRIM_Mass_0015_2,15,122,135,2,"Tu solus Altissimus, Iesu Christe.",,,,,,,,
,CRIM_Mass_0015,CRIM_Mass_0015_2,16,135,154,2,"Cum Sancto Spiritu, in gloria Dei Patris.",,,,,,,,
,CRIM_Mass_0015,CRIM_Mass_0015_2,17,143,156,2,Amen.,,,,,,,,
,CRIM_Mass_0015,CRIM_Mass_0015_3,1,1,18,1,"Patrem omnipotentem, factorem caeli et terrae, visibilium omnium, et invisibilium.",,,,,,,,
,CRIM_Mass_0015,CRIM_Mass_0015_3,2,16,30,1,"Et in unum Dominum Iesum Christum, Filium Dei unigenitum.",,,,,,,,
,CRIM_Mass_0015,CRIM_Mass_0015_3,3,28,36,1,Et ex Patre natum ante omnia saecula.,,,,,,,,
,CRIM_Mass_0015,CRIM_Mass_0015_3,4,36,46,1,"Deum de Deo, lumen de lumine, Deum verum de Deo vero.",,,,,,,,
,CRIM_Mass_0015,CRIM_Mass_0015_3,5,45,53,1,"Genitum, non factum, consubstantialem Patri:",,,,,,,,
,CRIM_Mass_0015,CRIM_Mass_0015_3,6,51,57,1,per quem omnia facta sunt.,,,,,,,,
,CRIM_Mass_0015,CRIM_Mass_0015_3,7,55,76,1,"Qui propter non homines, et propter nostram salutem descendit de caelis.",,,,,,,,
,CRIM_Mass_0015,CRIM_Mass_0015_3,8,77,90,2,Et incarnatus est de Spiritu Sancto ex Maria Virgine:,,,,,,,,
,CRIM_Mass_0015,CRIM_Mass_0015_3,9,89,97,2,Et homo factus est.,,,,,,,,
,CRIM_Mass_0015,CRIM_Mass_0015_3,10,98,107,3,Crucifixus etiam pro nobis:,,,,,,,,
,CRIM_Mass_0015,CRIM_Mass_0015_3,11,106,121,3,"sub Pontio Pilato passus, et sepultus est.",,,,,,,,
,CRIM_Mass_0015,CRIM_Mass_0015_3,12,121,136,3,"Et resurrexit tertia die, secundum Scripturas.",,,,,,,,
,CRIM_Mass_0015,CRIM_Mass_0015_3,13,135,143,3,Et ascendit in caelum:,,,,,,,,
,CRIM_Mass_0015,CRIM_Mass_0015_3,14,140,147,3,sedet ad dexteram Patris.,,,,,,,,
,CRIM_Mass_0015,CRIM_Mass_0015_3,15,146,157,3,"Et iterum venturus est cum gloria, iudicare vivos et mortuos:",,,,,,,,
,CRIM_Mass_0015,CRIM_Mass_0015_3,16,156,166,3,cuius regni non erit finis.,,,,,,,,
,CRIM_Mass_0015,CRIM_Mass_0015_3,17,167,175,4,"Et in Spiritum Sanctum, Dominum, et vivificantem:",,,,,,,,
,CRIM_Mass_0015,CRIM_Mass_0015_3,18,174,180,4,qui ex Patre Filioque procedit.,,,,,,,,
,CRIM_Mass_0015,CRIM_Mass_0015_3,19,177,189,4,"Qui cum Patre et Filio simul adoratur, et conglorificatur:",,,,,,,,
,CRIM_Mass_0015,CRIM_Mass_0015_3,20,188,194,4,qui locutus est per Prophetas.,,,,,,,,
,CRIM_Mass_0015,CRIM_Mass_0015_3,21,193,202,4,Et unam sanctam catholicam et apostolicam Ecclesiam.,,,,,,,,
,CRIM_Mass_0015,CRIM_Mass_0015_3,22,201,217,4,Confiteor unum baptisma in remissionem peccatorum.,,,,,,,,
,CRIM_Mass_0015,CRIM_Mass_0015_3,23,215,227,4,Et expecto resurrectionem mortuorum.,,,,,,,,
,CRIM_Mass_0015,CRIM_Mass_0015_3,24,226,234,4,Et vitam venturi saeculi.,,,,,,,,
,CRIM_Mass_0015,CRIM_Mass_0015_3,25,234,244,4,Amen.,,,,,,,,
,CRIM_Mass_0015,CRIM_Mass_0015_4,1,1,42,1,Sanctus Dominus Deus Sabaoth.,,,,,,,,
,CRIM_Mass_0015,CRIM_Mass_0015_4,2,43,84,2,Pleni sunt caeli et terra gloria tua.,,,,,,,,
,CRIM_Mass_0015,CRIM_Mass_0015_4,3,85,127,3,Hosanna in excelsis.,,,,,,,,
,CRIM_Mass_0015,CRIM_Mass_0015_4,4,128,176,4,Benedictus qui venit in nomine Domini.,,,,,,,,
,CRIM_Mass_0015,CRIM_Mass_0015_5,1,1,34,1,"Agnus Dei, qui tollis peccata mundi:",,,,,,,,
,CRIM_Mass_0015,CRIM_Mass_0015_5,2,33,55,1,miserere nobis.,,,,,,,,
,,,,,,,"Agnus Dei, qui tollis peccata mundi:",,,,,,,,
,,,,,,,miserere nobis.,,,,,,,,
,CRIM_Mass_0015,CRIM_Mass_0015_5,3,56,88,2,"Agnus Dei, qui tollis peccata mundi:",,,,,,,,
,CRIM_Mass_0015,CRIM_Mass_0015_5,4,86,105,2,dona nobis pacem.,,,,,,,,
