CRIM_Phrase_ID,CRIM_Mass_ID,Mass_Section_ID,Section_Phrase_Number,Start_Measure,Stop_Measure,End of section,Text,,,,,,,,
a preciser dans la liste complete!,CRIM_Mass_0009,CRIM_Mass_0009_Kyrie,1,1,18,1,Kyrie eleison.,,,,,,,,
,CRIM_Mass_0009,CRIM_Mass_0009_Kyrie,2,19,36,2,Christe eleison.,,,,,,,,
,CRIM_Mass_0009,CRIM_Mass_0009_Kyrie,3,37,59,3,Kyrie eleison.,,,,,,,,
,CRIM_Mass_0009,CRIM_Mass_0009_Gloria,1,1,11,1,Et in terra pax hominibus bonae voluntatis.,,,,,,,,
,CRIM_Mass_0009,CRIM_Mass_0009_Gloria,2,9,13,1,Laudamus te.,,,,,,,,
,CRIM_Mass_0009,CRIM_Mass_0009_Gloria,3,11,16,1,Benedicimus te.,,,,,,,,
,CRIM_Mass_0009,CRIM_Mass_0009_Gloria,4,15,19,1,Adoramus te.,,,,,,,,
,CRIM_Mass_0009,CRIM_Mass_0009_Gloria,5,18,25,1,Glorificamus te.,,,,,,,,
,CRIM_Mass_0009,CRIM_Mass_0009_Gloria,6,23,34,1,Gratias agimus tibi propter magnam gloriam tuam.,,,,,,,,
,CRIM_Mass_0009,CRIM_Mass_0009_Gloria,7,34,42,1,"Domine Deus, Rex caelestis, Deus Pater omnipotens.",,,,,,,,
,CRIM_Mass_0009,CRIM_Mass_0009_Gloria,8,42,49,1,Domine Fili unigenite Iesu Christe.,,,,,,,,
,CRIM_Mass_0009,CRIM_Mass_0009_Gloria,9,50,64,2,"Domine Deus, Agnus Dei, Filius Patris.",,,,,,,,
,CRIM_Mass_0009,CRIM_Mass_0009_Gloria,10,65,76,3,"Qui tollis peccata mundi, miserere nobis.",,,,,,,,
,CRIM_Mass_0009,CRIM_Mass_0009_Gloria,11,74,87,3,"Qui tollis peccata mundi, suscipe deprecationem nostram.",,,,,,,,
,CRIM_Mass_0009,CRIM_Mass_0009_Gloria,12,86,95,3,"Qui sedes ad dexteram Patris, miserere nobis.",,,,,,,,
,CRIM_Mass_0009,CRIM_Mass_0009_Gloria,13,94,97,3,Quoniam tu solus sanctus.,,,,,,,,
,CRIM_Mass_0009,CRIM_Mass_0009_Gloria,14,96,98,3,Tu solus Dominus.,,,,,,,,
,CRIM_Mass_0009,CRIM_Mass_0009_Gloria,15,98,104,3,"Tu solus Altissimus, Iesu Christe.",,,,,,,,
,CRIM_Mass_0009,CRIM_Mass_0009_Gloria,16,103,117,3,"Cum Sancto Spiritu, in gloria Dei Patris.",,,,,,,,
,CRIM_Mass_0009,CRIM_Mass_0009_Gloria,17,111,118,3,Amen.,,,,,,,,
,CRIM_Mass_0009,CRIM_Mass_0009_Credo,1,1,16,1,"Patrem omnipotentem, factorem caeli et terrae, visibilium omnium, et invisibilium.",,,,,,,,
,CRIM_Mass_0009,CRIM_Mass_0009_Credo,2,15,27,1,"Et in unum Dominum Iesum Christum, Filium Dei unigenitum.",,,,,,,,
,CRIM_Mass_0009,CRIM_Mass_0009_Credo,3,26,35,1,Et ex Patre natum ante omnia saecula.,,,,,,,,
,CRIM_Mass_0009,CRIM_Mass_0009_Credo,4,34,47,1,"Deum de Deo, lumen de lumine, Deum verum de Deo vero.",,,,,,,,
,CRIM_Mass_0009,CRIM_Mass_0009_Credo,5,46,51,1,"Genitum, non factum, consubstantialem Patri:",,,,,,,,
,CRIM_Mass_0009,CRIM_Mass_0009_Credo,6,51,55,1,per quem omnia facta sunt.,,,,,,,,
,CRIM_Mass_0009,CRIM_Mass_0009_Credo,7,55,64,1,"Qui propter non homines, et propter nostram salutem descendit de caelis.",,,,,,,,
,CRIM_Mass_0009,CRIM_Mass_0009_Credo,8,65,74,2,Et incarnatus est de Spiritu Sancto ex Maria Virgine:,,,,,,,,
,CRIM_Mass_0009,CRIM_Mass_0009_Credo,9,73,77,2,Et homo factus est.,,,,,,,,
,CRIM_Mass_0009,CRIM_Mass_0009_Credo,10,78,84,3,Crucifixus etiam pro nobis: ,,,,,,,,
,CRIM_Mass_0009,CRIM_Mass_0009_Credo,11,84,93,3,"sub Pontio Pilato passus, et sepultus est.",,,,,,,,
,CRIM_Mass_0009,CRIM_Mass_0009_Credo,12,94,106,4,"Et resurrexit tertia die, secundum Scripturas.",,,,,,,,
,CRIM_Mass_0009,CRIM_Mass_0009_Credo,13,104,110,4,Et ascendit in caelum:,,,,,,,,
,CRIM_Mass_0009,CRIM_Mass_0009_Credo,14,109,114,4,sedet ad dexteram Patris.,,,,,,,,
,CRIM_Mass_0009,CRIM_Mass_0009_Credo,15,113,123,4,"Et iterum venturus est cum gloria, iudicare vivos et mortuos:",,,,,,,,
,CRIM_Mass_0009,CRIM_Mass_0009_Credo,16,122,129,4,cuius regni non erit finis.,,,,,,,,
,CRIM_Mass_0009,CRIM_Mass_0009_Credo,17,130,139,5,"Et in Spiritum Sanctum, Dominum, et vivificantem:",,,,,,,,
,CRIM_Mass_0009,CRIM_Mass_0009_Credo,18,137,144,5,qui ex Patre Filioque procedit.,,,,,,,,
,CRIM_Mass_0009,CRIM_Mass_0009_Credo,19,142,155,5,"Qui cum Patre et Filio simul adoratur, et conglorificatur: ",,,,,,,,
,CRIM_Mass_0009,CRIM_Mass_0009_Credo,20,155,160,5,qui locutus est per Prophetas.,,,,,,,,
,CRIM_Mass_0009,CRIM_Mass_0009_Credo,21,159,167,5,Et unam sanctam catholicam et apostolicam Ecclesiam.,,,,,,,,
,CRIM_Mass_0009,CRIM_Mass_0009_Credo,22,167,176,5,Confiteor unum baptisma in remissionem peccatorum.,,,,,,,,
,CRIM_Mass_0009,CRIM_Mass_0009_Credo,23,175,185,5,Et expecto resurrectionem mortuorum.,,,,,,,,
,CRIM_Mass_0009,CRIM_Mass_0009_Credo,24,185,200,5,Et vitam venturi saeculi.,,,,,,,,
,CRIM_Mass_0009,CRIM_Mass_0009_Credo,25,190,201,5,Amen.,,,,,,,,
,CRIM_Mass_0009,CRIM_Mass_0009_Sanctus,1,1,23,1,Sanctus Dominus Deus Sabaoth.,,,,,,,,
,CRIM_Mass_0009,CRIM_Mass_0009_Sanctus,2,24,49,2,Pleni sunt caeli et terra gloria tua.,,,,,,,,
,CRIM_Mass_0009,CRIM_Mass_0009_Sanctus,3,50,79,3,Hosanna in excelsis.,,,,,,,,
,CRIM_Mass_0009,CRIM_Mass_0009_Sanctus,4,80,108,4,Benedictus qui venit in nomine Domini.,,,,,,,,
,CRIM_Mass_0009,CRIM_Mass_0009_Agnus,1,1,18,1,"Agnus Dei, qui tollis peccata mundi: ",,,,,,,,
,CRIM_Mass_0009,CRIM_Mass_0009_Agnus,2,15,28,1,miserere nobis.,,,,,,,,
,,,,,,,"Agnus Dei, qui tollis peccata mundi: ",,,,,,,,
,,,,,,,miserere nobis.,,,,,,,,
,CRIM_Mass_0009,CRIM_Mass_0009_Agnus,3,29,39,2,"Agnus Dei, qui tollis peccata mundi: ",,,,,,,,
,CRIM_Mass_0009,CRIM_Mass_0009_Agnus,4,39,50,2,dona nobis pacem.,,,,,,,,
