CRIM_Model_ID,Model_Phrase_Number,Start_Measure,Stop_Measure,Part,Text,Translation,,,,,,,
CRIM_Model_0012,1,1,6,1,"Voulant honneur, que de vous je m'absente,",,,,,,,,
CRIM_Model_0012,2,6,10,1,"Ne vous puis faire apparoir mon désir,",,,,,,,,
CRIM_Model_0012,3,11,16,1,"Mais le bon Dieu, si de mort il m'exempte",,,,,,,,
CRIM_Model_0012,4,16,21,1,M'en donnera quelque jour le loisir.,,,,,,,,
CRIM_Model_0012,5,21,25,1,"Et quand la mort viendroit ce corps saysir,",,,,,,,,
CRIM_Model_0012,6,25,29,1,"L'esprit qui sent toujours son amour croistre,",,,,,,,,
CRIM_Model_0012,7,30,36,1,"D'aller au ciel, ne prendroit point plaisir,",,,,,,,,
CRIM_Model_0012,8,35,40,1,Sans vous l'avoir en terre faict congnoistre,,,,,,,,
CRIM_Model_0012,9,41,46,1,"D'aller au ciel, ne prendroit point plaisir,",,,,,,,,
CRIM_Model_0012,10,46,50,1,Sans vous l'avoir en terre faict congnoistre,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
