CRIM_Model_ID,Model_Phrase_Number,Start_Measure,Stop_Measure,Part,Text,Translation,,,,,,,
CRIM_Model_0023,1,1,16,,"Benedicta es, caelorum regina,",,,,,,,,
CRIM_Model_0023,2,15,24,,"Et mundi totius domina,",,,,,,,,
CRIM_Model_0023,3,23,32,,Et aegris medicina.,,,,,,,,
CRIM_Model_0023,4,32,43,,"Tu praeclara maris stella vocaris,",,,,,,,,
CRIM_Model_0023,5,42,51,,"Quae solem justitiae paris,",,,,,,,,
CRIM_Model_0023,6,54,57,,A quo illuminaris.,,,,,,,,
CRIM_Model_0023,7,56,67,,"Te Deus Pater, ut Dei Mater",,,,,,,,
CRIM_Model_0023,8,66,73,,"Fieres et ipse frater,",,,,,,,,
CRIM_Model_0023,9,72,77,,"Cuius erat filia,",,,,,,,,
CRIM_Model_0023,10,75,87,,"Sanctificavit, sanctam servavit,",,,,,,,,
CRIM_Model_0023,11,87,95,,Et mittens sic salutavit:,,,,,,,,
CRIM_Model_0023,12,94,102,,Ave plena gratia.,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
