CRIM_Model_ID,Model_Phrase_Number,Start_Measure,Stop_Measure,Part,Text,Translation,,,,,,,
CRIM_Model_0005,1,1,1,,"Credo in unum Deum,",,,,,,,,
CRIM_Model_0005,2,2,5,,"Patrem omnipotentem, factorem caeli et terrae, visibilium omnium, et invisibilium.",,,,,,,,
CRIM_Model_0005,3,6,8,,"Et in unum Dominum Iesum Christum, Filium Dei unigenitum.",,,,,,,,
CRIM_Model_0005,4,9,10,,Et ex Patre natum ante omnia saecula.,,,,,,,,
CRIM_Model_0005,5,11,13,,"Deum de Deo, lumen de lumine, Deum verum de Deo vero.",,,,,,,,
CRIM_Model_0005,6,14,15,,"Genitum, non factum, consubstantialem Patri:",,,,,,,,
CRIM_Model_0005,7,16,16,,per quem omnia facta sunt.,,,,,,,,
CRIM_Model_0005,8,17,19,,"Qui propter non homines, et propter nostram salutem descendit de caelis.",,,,,,,,
CRIM_Model_0005,9,20,21,,Et incarnatus est de Spiritu Sancto ex Maria Virgine:,,,,,,,,
CRIM_Model_0005,10,22,22,,Et homo factus est.,,,,,,,,
CRIM_Model_0005,11,23,23,,Crucifixus etiam pro nobis: ,,,,,,,,
CRIM_Model_0005,12,24,25,,"sub Pontio Pilato passus, et sepultus est.",,,,,,,,
CRIM_Model_0005,13,26,27,,"Et resurrexit tertia die, secundum Scripturas.",,,,,,,,
CRIM_Model_0005,14,28,28,,Et ascendit in caelum:,,,,,,,,
CRIM_Model_0005,15,29,29,,sedet ad dexteram Patris.,,,,,,,,
CRIM_Model_0005,16,30,31,,"Et iterum venturus est cum gloria, iudicare vivos et mortuos:",,,,,,,,
CRIM_Model_0005,17,32,32,,cuius regni non erit finis.,,,,,,,,
CRIM_Model_0005,18,33,34,,"Et in Spiritum Sanctum, Dominum, et vivificantem:",,,,,,,,
CRIM_Model_0005,19,35,35,,qui ex Patre Filioque procedit.,,,,,,,,
CRIM_Model_0005,20,36,38,,"Qui cum Patre et Filio simul adoratur, et glorificatur: ",,,,,,,,
CRIM_Model_0005,21,39,39,,qui locutus est per Prophetas.,,,,,,,,
CRIM_Model_0005,22,40,41,,Et unam sanctam catholicam et apostolicam Ecclesiam.,,,,,,,,
CRIM_Model_0005,23,42,43,,Confiteor unum baptisma in remissionem peccatorum.,,,,,,,,
CRIM_Model_0005,24,44,44,,Et expecto resurrectionem mortuorum.,,,,,,,,
CRIM_Model_0005,25,45,45,,Et vitam venturi saeculi.,,,,,,,,
CRIM_Model_0005,26,46,46,,Amen.,,,,,,,,
