CRIM_Model_ID,Model_Phrase_Number,Start_Measure,Stop_Measure,Part,Text,Translation,,,,,,,
CRIM_Model_0013,1,1,8,1,"Je n’en puis plus durer, Marquet, allons y donc.",,,,,,,,
CRIM_Model_0013,2,8,20,1,"Marquet aussy Marquette, en gardant leurs moutons,",,,,,,,,
CRIM_Model_0013,3,18,26,1,"S’assirent sur l’herbette, auprès d'ung vert buisson.",,,,,,,,
CRIM_Model_0013,4,26,31,1,"Je n’en puis plus durer, Marquet, allons y donc.",,,,,,,,
CRIM_Model_0013,5,30,40,1,"Lors la fillette a dict, en baisant son mignon,",,,,,,,,
CRIM_Model_0013,6,39,47,1,Regardez près de nous le beau lict de saison.,,,,,,,,
CRIM_Model_0013,7,47,55,1,"Je n’en puis plus durer, Marquet, allons y donc.",,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
