CRIM_Model_ID,Model_Phrase_Number,Start_Measure,Stop_Measure,Part,Text,Translation,,,,,,,
CRIM_Model_0009,1,1,5,,"Je suis déshéritée,","I’m broke,",,,,,,,
CRIM_Model_0009,2,4,10,,Puisque j’ai perdu mon ami.,Because I lost my friend.,,,,,,,
CRIM_Model_0009,3,9,13,,"Seule il m’a laissée,","He left me, now I'm alone,",,,,,,,
CRIM_Model_0009,4,12,18,,Pleine de pleurs et de souci.,Full of tears and sorrow.,,,,,,,
CRIM_Model_0009,5,17,21,,"Rossignol du bois joli,",Nightingale in the woods,,,,,,,
CRIM_Model_0009,6,21,24,,"Sans point faire demeurée,",Go immediately,,,,,,,
CRIM_Model_0009,7,24,27,,Va t’en dire à mon ami,And tell my friend,,,,,,,
CRIM_Model_0009,8,28,32,,Que pour lui suis tourmentée.,That I’m tormented for his sake.,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
