CRIM_Model_ID,Model_Phrase_Number,Start_Measure,Stop_Measure,Part,Text,Translation,,,,,,,
CRIM_Model_0024,1,1,5,,Suzanne un jour d'amour sollicitée,,,,,,,,
CRIM_Model_0024,2,5,9,,Par deux vieillards convoitant sa beauté,,,,,,,,
CRIM_Model_0024,3,1,5,,Fut en son cœur triste et déconfortée,,,,,,,,
CRIM_Model_0024,4,5,9,,Voyant l'effort fait à sa chasteté.,,,,,,,,
CRIM_Model_0024,5,10,14,,Elle leur dit : si par déloyauté,,,,,,,,
CRIM_Model_0024,6,14,17,,"De ce corps mien vous avez jouissance,",,,,,,,,
CRIM_Model_0024,7,18,22,,"C'est fait de moi ! Si je fais résistance,",,,,,,,,
CRIM_Model_0024,8,23,26,,Vous me ferez mourir en déshonneur :,,,,,,,,
CRIM_Model_0024,9,27,31,,Mais j'aime mieux périr en innocence,,,,,,,,
CRIM_Model_0024,10,31,35,,Que d'offenser par péché le Seigneur.,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
