CRIM_Model_ID,Model_Phrase_Number,Start_Measure,Stop_Measure,Part,Text,Translation,,,,,,,
CRIM_Model_0016,1,1,15,,"Mente tota supplicamus,",,,,,,,,
CRIM_Model_0016,2,14,23,,ut sicut Filio tuo,,,,,,,,
CRIM_Model_0016,3,22,28,,Domino nostro Iesu Christo,,,,,,,,
CRIM_Model_0016,4,27,37,,"aliquando displicuimus,",,,,,,,,
CRIM_Model_0016,5,33,44,,immutatis moribus,,,,,,,,
CRIM_Model_0016,6,44,55,,per te usque in finem ei complaceamus.,,,,,,,,
CRIM_Model_0016,7,54,67,,"Preces nostras, Virgo mirabilis,",,,,,,,,
CRIM_Model_0016,8,68,75,,ideo ne despicias quia ore indigno,,,,,,,,
CRIM_Model_0016,9,76,85,,nomen sanctum tuum invocare praesumimus:,,,,,,,,
CRIM_Model_0016,10,86,89,,"Sancta Maria, ora pro nobis.",,,,,,,,
CRIM_Model_0016,11,90,93,,"Sancta Dei genitrix, ora pro nobis.",,,,,,,,
CRIM_Model_0016,12,94,107,,"Sancta Virgo virginum, intercede pro nobis.",,,,,,,,



,,,,,,,,,,,,,
