CRIM_Model_ID,Model_Phrase_Number,Start_Measure,Stop_Measure,Part,Text,Translation,,,,,,,
CRIM_Model_0002,1,1,2,1,"O gente brunette que Dieu gard,",,,,,,,,
CRIM_Model_0002,2,2,6,1,Seras-tu point m'amyette ?,,,,,,,,
CRIM_Model_0002,3,6,8,1,Souvent je souhaite ton regard,,,,,,,,
CRIM_Model_0002,4,8,11,1,À mon aise en ma chambrette.,,,,,,,,
CRIM_Model_0002,5,12,13,1,"Toute nue en la couchette,",,,,,,,,
CRIM_Model_0002,6,14,14,1,"Blanche et nette,",,,,,,,,
CRIM_Model_0002,7,15,15,1,Tant doulcette,,,,,,,,
CRIM_Model_0002,8,16,17,1,"Pour jouer au jeu d'amours,",,,,,,,,
CRIM_Model_0002,9,18,19,1,Si tu sçavois la chosette,,,,,,,,
CRIM_Model_0002,10,20,21,1,"Qui me haite,",,,,,,,,
CRIM_Model_0002,11,22,23,1,Tu y viendrois tous les jours.,,,,,,,,
CRIM_Model_0002,12,24,25,1,"O gente brunette que Dieu gard,",,,,,,,,
CRIM_Model_0002,13,25,29,1,Seras-tu point m'amyette ?,,,,,,,,
CRIM_Model_0002,14,29,31,1,Souvent je souhaite ton regard,,,,,,,,
CRIM_Model_0002,15,31,34,1,À mon aise en ma chambrette.,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
