CRIM_Model_ID,Model_Phrase_Number,Start_Measure,Stop_Measure,Part,Text,Translation,,,,,,,
CRIM_Model_0014,1,1,22,,"Si bona suscepimus de manu Domini,","If we have received good things from the hand of the Lord,",,,,,,,
CRIM_Model_0014,2,21,36,,mala autem quare non sustineamus?,why should we not endure bad things?,,,,,,,
CRIM_Model_0014,3,37,44,,"Dominus dedit, Dominus abstulit; ","The Lord has given, the Lord has taken away;",,,,,,,
CRIM_Model_0014,4,43,55,,"sicut Domino placuit, ita factum est:","as it has pleased the Lord, so is it done:",,,,,,,
CRIM_Model_0014,5,56,62,,sit nomen Domini benedictum.,blessed be the name of the Lord.,,,,,,,
CRIM_Model_0014,6,62,77,,"Nudus egressus sum de utero/ventris matris meae, et nudus revertar illuc.","Naked came I out of my mother’s womb, and naked shall I return there.",,,,,,,
CRIM_Model_0014,7,78,85,,"Dominus dedit, Dominus abstulit; ","The Lord has given, the Lord has taken away;",,,,,,,
CRIM_Model_0014,8,84,96,,"sicut Domino placuit, ita factum est:","as it has pleased the Lord, so is it done:",,,,,,,
CRIM_Model_0014,9,97,103,,sit nomen Domini benedictum.,blessed be the name of the Lord.,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
