CRIM_Model_ID,Model_Phrase_Number,Start_Measure,Stop_Measure,Part,Text,Translation,,,,,,,
CRIM_Model_0001,1,1,14,1,Vidi speciosam sicut columbam,,,,,,,,
CRIM_Model_0001,2,10,29,1,"ascendentem desuper rivos aquarum, ",,,,,,,,
CRIM_Model_0001,3,28,40,1,cuius inaestimabilis odor erat nimis.,,,,,,,,
CRIM_Model_0001,4,38,53,1,Et sicut dies verni circumdabant eam,,,,,,,,
CRIM_Model_0001,5,50,71,1,flores rosarum et lilia convallium.,,,,,,,,
CRIM_Model_0001,6,72,98,2,"Quae est ista quae processit quasi aurora consurbens, ",,,,,,,,
CRIM_Model_0001,7,96,106,2,"pulchra ut luna, ",,,,,,,,
CRIM_Model_0001,8,104,115,2,"electa ut sol,",,,,,,,,
CRIM_Model_0001,9,113,134,2,terribilis ut castrorum acies ordinata?,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
