CRIM_Model_ID,Model_Phrase_Number,Start_Measure,Stop_Measure,Part,Text,Translation,,,,,,,
CRIM_Model_0004,1,1,1,,Gloria in excelsis Deo.,,,,,,,,
CRIM_Model_0004,2,2,3,,Et in terra pax hominibus bonae volumptatis.,,,,,,,,
CRIM_Model_0004,3,4,4,,Laudamus te.,,,,,,,,
CRIM_Model_0004,4,5,5,,Benedicimus te.,,,,,,,,
CRIM_Model_0004,5,6,6,,Adoramus te.,,,,,,,,
CRIM_Model_0004,6,7,7,,Glorificamus te.,,,,,,,,
CRIM_Model_0004,7,8,9,,Gratias agimus tibi propter magnam gloriam tuam.,,,,,,,,
CRIM_Model_0004,8,10,12,,"Domine Deus, Rex caelestis, Deus Pater omnipotens.",,,,,,,,
CRIM_Model_0004,9,13,14,,Domine Fili unigenite Iesu Christe.,,,,,,,,
CRIM_Model_0004,10,15,17,,"Domine Deus, Agnus Dei, Filius Patris.",,,,,,,,
CRIM_Model_0004,11,18,19,,"Qui tollis peccata mundi, miserere nobis.",,,,,,,,
CRIM_Model_0004,12,20,21,,"Qui tollis peccata mundi, suscipe deprecationem nostram.",,,,,,,,
CRIM_Model_0004,13,22,23,,"Qui sedes ad dexteram Patris, miserere nobis.",,,,,,,,
CRIM_Model_0004,14,24,24,,Quoniam tu solus sanctus.,,,,,,,,
CRIM_Model_0004,15,25,25,,Tu solus Dominus.,,,,,,,,
CRIM_Model_0004,16,26,27,,"Tu solus Altissimus, Iesu Christe.",,,,,,,,
CRIM_Model_0004,17,28,29,,"Cum Sancto Spiritu, in gloria Dei Patris.",,,,,,,,
CRIM_Model_0004,18,30,30,,Amen.,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
