CRIM_Model_ID,Model_Phrase_Number,Start_Measure,Stop_Measure,Part,Text,Translation,,,,,,,
CRIM_Model_0021,1,1,10,,"Benedicta es, caelorum regina,",,,,,,,,
CRIM_Model_0021,2,10,16,,"Et mundi totius domina,",,,,,,,,
CRIM_Model_0021,3,13,23,,Et aegris medicina.,,,,,,,,
CRIM_Model_0021,4,21,31,,"Tu praeclara maris stella vocaris,",,,,,,,,
CRIM_Model_0021,5,30,36,,"Quae solem justitiae paris,",,,,,,,,
CRIM_Model_0021,6,34,41,,A quo illuminaris.,,,,,,,,
CRIM_Model_0021,7,41,48,,"Te Deus Pater, ut Dei Mater",,,,,,,,
CRIM_Model_0021,8,48,54,,"Fieres et ipse frater,",,,,,,,,
CRIM_Model_0021,9,54,62,,"Cuius erat filia,",,,,,,,,
CRIM_Model_0021,10,63,67,,"Sanctificavit, sanctam servavit,",,,,,,,,
CRIM_Model_0021,11,67,75,,Et mittens sic salutavit:,,,,,,,,
CRIM_Model_0021,12,71,80,,Ave plena gratia.,,,,,,,,
CRIM_Model_0021,1,81,90,,Per illud ave prolatum,,,,,,,,
CRIM_Model_0021,2,82,98,,Per tuum responsum *datum [*gratum in some voices] ,,,,,,,,
CRIM_Model_0021,3,97,106,,"Est ex te Verbum incarnatum,",,,,,,,,
CRIM_Model_0021,4,105,111,,Quo salvantur omnia.,,,,,,,,
CRIM_Model_0021,5,110,118,,"Nunc Mater exora natum,",,,,,,,,
CRIM_Model_0021,6,117,125,,"Ut nostrum tollat reatum,",,,,,,,,
CRIM_Model_0021,7,122,130,,Et regnum det nobis paratum,,,,,,,,
CRIM_Model_0021,8,132,143,,In caelesti patria.,,,,,,,,
CRIM_Model_0021,9,143,152,,Amen.,,,,,,,,
