CRIM_Model_ID,Model_Phrase_Number,Start_Measure,Stop_Measure,Part,Text,Translation,,,,,,,
CRIM_Model_0017,1,1,20,1,"Benedicta es, caelorum regina,","Blessed you are, queen of heaven,",,,,,,,
CRIM_Model_0017,2,19,28,1,"Et mundi totius domina,","And ruler of the whole world,",,,,,,,
CRIM_Model_0017,3,27,38,1,Et aegris medicina.,And medicine for the sick.,,,,,,,
CRIM_Model_0017,4,37,50,1,"Tu praeclara maris stella vocaris,","You are called brightest star of the sea,",,,,,,,
CRIM_Model_0017,5,46,62,1,"Quae solem justitiae paris,","Who give birth to the sun of clemency,",,,,,,,
CRIM_Model_0017,6,61,73,1,A quo illuminaris.,By whom you are illuminated.,,,,,,,
CRIM_Model_0017,7,72,79,1,"Te Deus Pater, ut Dei Mater","God the Father, that you might become",,,,,,,
CRIM_Model_0017,8,78,82,1,"Fieres et ipse Pater,","God's Mother and he God's Father,",,,,,,,
CRIM_Model_0017,9,82,87,1,"Cuius erat filia,","Whose daughter she was,",,,,,,,
CRIM_Model_0017,10,86,92,1,"Sanctificavit, sanctam servavit,","Sanctified you, kept you sacred,",,,,,,,
CRIM_Model_0017,11,91,98,1,Et mittens sic salutavit:,And sent you this greeting:,,,,,,,
CRIM_Model_0017,12,99,107,1,Ave plena gratia.,"Hail, full of grace.",,,,,,,
CRIM_Model_0017,13,108,113,2,Per illud ave prolatum,"Through that spoken ""Hail""",,,,,,,
CRIM_Model_0017,14,113,117,2,Et tuum responsum datum,And your pleasing response,,,,,,,
CRIM_Model_0017,15,118,122,2,"Ex te Verbum incarnatum,","The Word became flesh from you,",,,,,,,
CRIM_Model_0017,16,122,135,2,Quo salvantur omnia.,By whom all are saved.,,,,,,,
CRIM_Model_0017,17,136,147,3,"Nunc Mater exora natum,","Now, Mother, implore your son,",,,,,,,
CRIM_Model_0017,18,145,154,3,"Ut nostrum tollat reatum,","That he may take away our guilt,",,,,,,,
CRIM_Model_0017,19,154,163,3,Et regnum det nobis paratum,And may give us the kingdom prepared,,,,,,,
CRIM_Model_0017,20,162,166,3,In caelesti patria.,In the celestial fatherland.,,,,,,,
CRIM_Model_0017,21,166,174,3,Amen.,Amen.,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
