CRIM_Model_ID,Model_Phrase_Number,Start_Measure,Stop_Measure,Part,Text,Translation,,,,,,,
CRIM_Model_0018,1,1,15,,"Baisez-moi, ma doulce amie,","Kiss me, my sweetheart,",,,,,,,
CRIM_Model_0018,2,12,20,,"Par amour, je vous en prie.","As my true love, I beg you",,,,,,,
CRIM_Model_0018,3,15,23,,Non feray !,Indeed I will not!,,,,,,,
CRIM_Model_0018,4,19,22,,Et pourquoy ?,And why?,,,,,,,
CRIM_Model_0018,5,23,30,,"Si je faisais la follie,","If I were foolish,",,,,,,,
CRIM_Model_0018,6,27,34,,Ma mère en serait morrie.,My mother might be hurt.,,,,,,,
CRIM_Model_0018,7,30,38,,Vela de quoy !,That's why!,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
