CRIM_Model_ID,Model_Phrase_Number,Start_Measure,Stop_Measure,Part,Text,Translation,,,,,,,
CRIM_Model_0015,1,1,25,1,"Quo abiit dilectus tuus, o pulcherrima mulierum?",,,,,,,,
CRIM_Model_0015,2,22,36,1,Quo declinavit dilectus tuus?,,,,,,,,
CRIM_Model_0015,3,34,47,1,Et quaeremus eum tecum.,,,,,,,,
CRIM_Model_0015,4,43,84,1,Dilectus meus descendit in hortum suum ut pascatur in hortis suis et lilia colligat.,,,,,,,,
CRIM_Model_0015,5,85,103,2,"Qualis est dilectus tuus, o pulcherrima mulierum?",,,,,,,,
CRIM_Model_0015,6,99,123,2,"Sicut malus inter lingua silvarum, sic dilectus meus inter filias.",,,,,,,,
CRIM_Model_0015,7,121,166,2,"En dilectus meus loquitur mihi surge propera amica mea, columba mea, formosa mea et veni",,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
