CRIM_Model_ID,Model_Phrase_Number,Start_Measure,Stop_Measure,Part,Text,Translation,,,,,,,
CRIM_Model_0008,1,1,17,,"Ave Maria, gratia plena,",,,,,,,,
CRIM_Model_0008,2,16,31,,"Dominus tecum, Virgo serena.",,,,,,,,
CRIM_Model_0008,3,31,39,,Ave caelorum Domina,,,,,,,,
CRIM_Model_0008,4,40,44,,"Maria, plena gratia",,,,,,,,
CRIM_Model_0008,5,44,48,,"caelestia, terrestria,",,,,,,,,
CRIM_Model_0008,6,48,54,,mundum replens laetitia.,,,,,,,,
CRIM_Model_0008,7,54,60,,"Ave cujus nativitas,",,,,,,,,
CRIM_Model_0008,8,59,65,,"nostra fuit solemnitas,",,,,,,,,
CRIM_Model_0008,9,64,73,,ut lucifer lux oriens,,,,,,,,
CRIM_Model_0008,10,66,77,,verum solem preveniens.,,,,,,,,
CRIM_Model_0008,11,78,81,,"Ave pia humilitas,",,,,,,,,
CRIM_Model_0008,12,81,84,,"sine viro fecunditas,",,,,,,,,
CRIM_Model_0008,13,84,88,,cuius annunciatio,,,,,,,,
CRIM_Model_0008,14,88,93,,nostra fuit salvatio.,,,,,,,,
CRIM_Model_0008,15,94,97,,"Ave vera virginitas,",,,,,,,,
CRIM_Model_0008,16,98,101,,"immaculata castitas,",,,,,,,,
CRIM_Model_0008,17,101,105,,cuius purificatio,,,,,,,,
CRIM_Model_0008,18,105,110,,nostra fuit purgatio.,,,,,,,,
CRIM_Model_0008,19,111,119,,Ave praeclara omnibus,,,,,,,,
CRIM_Model_0008,20,119,127,,"angelicis virtutibus,",,,,,,,,
CRIM_Model_0008,21,127,133,,cuius fuit assumptio,,,,,,,,
CRIM_Model_0008,22,133,141,,nostra glorificatio.,,,,,,,,
CRIM_Model_0008,23,143,150,,"O Mater Dei, memento mei.",,,,,,,,
CRIM_Model_0008,24,151,152,, Amen,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
