CRIM_Mass_ID,Title,Composer,Source_ID,Date of Mass,CRIM_Model_ID,Editor,Date,Reviewed,Other_Sources,Notes,MEI links,PDF links
CRIM_Mass_0011,Missa Je n’en puis plus durer,CRIM_Person_0024,CRIM_Source_0028,1557,CRIM_Model_0013,Marco Gurrieri,2015-12-26,,,,http://92.154.49.37/CRIM/files/original/dacc6cae420d354738558cbb3bec3379.mei|http://92.154.49.37/CRIM/files/original/4ec44de9522b3205e89ba5f5b7f4a328.mei|http://92.154.49.37/CRIM/files/original/517c1959aafaefab3034c2204bcbeda7.mei|http://92.154.49.37/CRIM/files/original/e0b0b327cb191cdf6d5a03fe30ca840e.mei|http://92.154.49.37/CRIM/files/original/b16f9f8cd86c10af2ac64e727f020f5a.mei,http://92.154.49.37/CRIM/files/original/c6e9a95eff663ae04858ca9cca7f4c98.pdf|http://92.154.49.37/CRIM/files/original/1b01701e8d466cad7f2d5dac88c46690.pdf|http://92.154.49.37/CRIM/files/original/8d1254adf6c7543466638ac9ac8e5bb2.pdf|http://92.154.49.37/CRIM/files/original/1b99327b89edf724f46d957b04901198.pdf|http://92.154.49.37/CRIM/files/original/789b49f86446d3d0138af35dd31d8c7c.pdf
CRIM_Mass_0012,Missa Si bona suscepimus,CRIM_Person_0026,CRIM_Source_0030,1557,CRIM_Model_0014,Marco Gurrieri,2016-01-05,,,,http://92.154.49.37/CRIM/files/original/98f887585dba05d6f3234181d72baf64.mei|http://92.154.49.37/CRIM/files/original/d7b1b6bd6fd3bfdba9b9045dd2e07130.mei|http://92.154.49.37/CRIM/files/original/532fe474e2e22118929fb1e7018855f8.mei|http://92.154.49.37/CRIM/files/original/5e7ff8d2bf55b3f9c2c885801c0b565a.mei|http://92.154.49.37/CRIM/files/original/085f0f8be273f09b32e26776e9ea6fc8.mei,http://92.154.49.37/CRIM/files/original/9826b2dce0e29c38613cf48c35af458d.pdf|http://92.154.49.37/CRIM/files/original/b6b6c814482c58e8de1d83d28883a934.pdf|http://92.154.49.37/CRIM/files/original/39dac34924ad30ed8696001098320428.pdf|http://92.154.49.37/CRIM/files/original/58ff2f5172dac593af2b33c66ccd0fc4.pdf|http://92.154.49.37/CRIM/files/original/94f54acc8bfe2964cc6c88e04a9d8507.pdf
CRIM_Mass_0013,Missa Quo abiit dilectus tuus,CRIM_Person_0028,CRIM_Source_0032,1556,CRIM_Model_0015,Marco Gurrieri,2016-02-01,,,,http://92.154.49.37/CRIM/files/original/ad7892a25b222716ae1da56beac0f211.mei|http://92.154.49.37/CRIM/files/original/3445fa225ce7b32bb041ccf0cd566a89.mei|http://92.154.49.37/CRIM/files/original/665fe22019532726ddca838dbe13de22.mei|http://92.154.49.37/CRIM/files/original/5fefb3bc53d8da0551c6324ce1861368.mei|http://92.154.49.37/CRIM/files/original/1efbfb81cc93c149feb8aa8433d7350c.mei,http://92.154.49.37/CRIM/files/original/b037bc1faced3a12ae7ae39067432879.pdf|http://92.154.49.37/CRIM/files/original/7c66bc2ae5c8b9f61e21b11957ed6247.pdf|http://92.154.49.37/CRIM/files/original/33d32c14ecf0850eeb9c1d01df0d050f.pdf|http://92.154.49.37/CRIM/files/original/81958394fd6b5270b2250d90921a2651.pdf|http://92.154.49.37/CRIM/files/original/85f7b6caca6fbd7343676505e9d25367.pdf
CRIM_Mass_0014,Missa Mente tota,CRIM_Person_0015,CRIM_Source_0017,1515,CRIM_Model_0016,Marco Gurrieri,2016-04-11,,,,http://92.154.49.37/CRIM/files/original/1b7b354d4f272de1983c70cc4871d8cc.mei|http://92.154.49.37/CRIM/files/original/b838c0c49ec78b1db74ed65c2b79767a.mei|http://92.154.49.37/CRIM/files/original/d85ea3192f54731e1f2e8c2e7cd340c5.mei|http://92.154.49.37/CRIM/files/original/046f1ae06da4d55067cea51e7deec470.mei|http://92.154.49.37/CRIM/files/original/5feb23bc5d2be1f3c3a27d56bac587c6.mei,http://92.154.49.37/CRIM/files/original/07961d1889dc4e2e48067d5a73432958.pdf|http://92.154.49.37/CRIM/files/original/45262bf76017b8174643bf8e84bb98db.pdf|http://92.154.49.37/CRIM/files/original/2fd8788f7143c2fa2cf0a11040ee3315.pdf|http://92.154.49.37/CRIM/files/original/78d64261c79c2ff74be01d4166aa2678.pdf|http://92.154.49.37/CRIM/files/original/99896ad1d8bf98fba5621132f8480b8b.pdf
CRIM_Mass_0015,Missa Benedicta es,CRIM_Person_0031,CRIM_Source_0035,1565,CRIM_Model_0017,Marco Gurrieri,2017-02-05,,,,http://92.154.49.37/CRIM/files/original/8365f28fe5b7153f4fd19aba70dc991d.mei|http://92.154.49.37/CRIM/files/original/2948089d6cab8e3e632cbe1255b0bf64.mei|http://92.154.49.37/CRIM/files/original/532f5cb2a0d75ce3afb971b24a875ad3.mei|http://92.154.49.37/CRIM/files/original/c07431a4599bd858eeefba38e5731dd7.mei|http://92.154.49.37/CRIM/files/original/7d304a2f1a833052ea2f4b9d342d8fc0.mei,http://92.154.49.37/CRIM/files/original/fa4e829e1f0bd297677aa6349c4b5a86.pdf|http://92.154.49.37/CRIM/files/original/548ffaadb8fe76ec181e7e2ea0c72a3f.pdf|http://92.154.49.37/CRIM/files/original/f94f9d00be47885ae06be70453f82bc6.pdf|http://92.154.49.37/CRIM/files/original/ed2bfc9e43c3352a2482d8bb6e6cafe7.pdf|http://92.154.49.37/CRIM/files/original/33a7409866b13ae450f167316c3261ac.pdf
CRIM_Mass_0016,Missa Mente tota,CRIM_Person_0035,CRIM_Source_0037,1520–1560,CRIM_Model_0016,Marco Gurrieri,2017-02-11,,,,http://92.154.49.37/CRIM/files/original/def5d751e6d4a35a34e6665cd9004aaa.mei|http://92.154.49.37/CRIM/files/original/d8064d0d82ee2a8532dc869500aae0dd.mei|http://92.154.49.37/CRIM/files/original/7bfced971a2e95337bda9256cedd3bfe.mei|http://92.154.49.37/CRIM/files/original/243f7b593e29af5724a1316f35d5a8a2.mei|http://92.154.49.37/CRIM/files/original/5c9914a96f4e5478ff2373bd843d7be7.mei,http://92.154.49.37/CRIM/files/original/7d9d044273eb12219dd4e2b155d4f218.pdf|http://92.154.49.37/CRIM/files/original/88722302ecbc3a4aed7040ed4163c4cb.pdf|http://92.154.49.37/CRIM/files/original/878e4541e544ce2e8149847f9c374bcd.pdf|http://92.154.49.37/CRIM/files/original/b7aa32d259b3da3dd1595e46214f8a35.pdf|http://92.154.49.37/CRIM/files/original/5b852f2a55ca2f384a7f28fb0a273cfb.pdf
CRIM_Mass_0017,Missa Baisiez moy,CRIM_Person_0036,CRIM_Source_0039,1513–1514,CRIM_Model_0018,Marco Gurrieri,2017-02-18,,,,http://92.154.49.37/CRIM/files/original/73c7f0c7fc4f3521bdc478e2951b0d10.mei|http://92.154.49.37/CRIM/files/original/f297f5c7e4487552bfe1b866cc367f7b.mei|http://92.154.49.37/CRIM/files/original/08c1953f0ffd200214d822f7f862827f.mei|http://92.154.49.37/CRIM/files/original/2d7311f5a3437942487d57cb8110b34d.mei|http://92.154.49.37/CRIM/files/original/d9e50ed2d91bab0d5bc1bd218a2771be.mei,http://92.154.49.37/CRIM/files/original/7b1a5b7db9f2f7bb11aceece360c7360.pdf|http://92.154.49.37/CRIM/files/original/9d458f9659e05a45eaa3c387a868053b.pdf|http://92.154.49.37/CRIM/files/original/c9d1a725b02d4c4616e1856ecd209e1f.pdf|http://92.154.49.37/CRIM/files/original/f2abbe8264913b969a604e2e294763e4.pdf|http://92.154.49.37/CRIM/files/original/eb4549d7fa3955a73d142f3d60f21a2d.pdf
CRIM_Mass_0018,Missa Benedicta es,CRIM_Person_0037,CRIM_Source_0040,1551,CRIM_Model_0017,Marco Gurrieri,2017-02-21,,CRIM_Source_0041,,http://92.154.49.37/CRIM/files/original/93f81b31408e3874cc34e7cc867a09c3.mei|http://92.154.49.37/CRIM/files/original/9d36a9d520496d8a47df3aea1b4aeb72.mei|http://92.154.49.37/CRIM/files/original/28f4d4f36b1a19866423a02989ab0eda.mei|http://92.154.49.37/CRIM/files/original/898281c1b5f356cbccdddd116af81f45.mei|http://92.154.49.37/CRIM/files/original/2e9b1b4866055b00ab43d14c291f3cb4.mei,http://92.154.49.37/CRIM/files/original/9f822495e0417c96c74d082c7e7a0f77.pdf|http://92.154.49.37/CRIM/files/original/4cc0d8e5206a25b51fbbf1f0adf174be.pdf|http://92.154.49.37/CRIM/files/original/4fb15d008f1c0ac0e497881c11301ef3.pdf|http://92.154.49.37/CRIM/files/original/61ab80d831490cb37e57f0345720a240.pdf|http://92.154.49.37/CRIM/files/original/eb194043768f1c0b8477c9cae7b7463c.pdf
CRIM_Mass_0019,Missa Veni sponsa Christi,CRIM_Person_0031,CRIM_Source_0043,1599,CRIM_Model_0019,Marco Gurrieri,2017-02-22,,,,http://92.154.49.37/CRIM/files/original/b4be7b23f70de329c9b62acb3498d420.mei|http://92.154.49.37/CRIM/files/original/80f3ec142b342eccd26644cecba4557b.mei|http://92.154.49.37/CRIM/files/original/48f9063b8691a63c554c4e2cfaebb17c.mei|http://92.154.49.37/CRIM/files/original/7cd5f8ae5da611f9bc2d28c2320d02db.mei|http://92.154.49.37/CRIM/files/original/ad677d2e4b24b6cb26decf35190e3383.mei,http://92.154.49.37/CRIM/files/original/ad9f69d2636f33fdca8b0d2b4dab5107.pdf|http://92.154.49.37/CRIM/files/original/fc18be15cb827191b2a5e00c9a284730.pdf|http://92.154.49.37/CRIM/files/original/61a80c512f22eaad252ef487cbe851c8.pdf|http://92.154.49.37/CRIM/files/original/bd1cb7738c3c427154f7df6b2968636f.pdf|http://92.154.49.37/CRIM/files/original/371782cf59b09287995c32eb21c561f4.pdf
CRIM_Mass_0020,Missa Susanne un jour,CRIM_Person_0041,CRIM_Source_0045,1570,CRIM_Model_0020,Marco Gurrieri,2017-02-26,,,,http://92.154.49.37/CRIM/files/original/238670bab93dc7918727ebc80ab188f3.mei|http://92.154.49.37/CRIM/files/original/d12a01fddf568b9a0cd7b749bad24ab3.mei|http://92.154.49.37/CRIM/files/original/997f74715356026155882fb698590d5e.mei|http://92.154.49.37/CRIM/files/original/aef85c46b658265cfc7c92d2bf191236.mei|http://92.154.49.37/CRIM/files/original/6c3ef83527cc29e84061dfe152399c45.mei,http://92.154.49.37/CRIM/files/original/c1f1b7fb203b8f3425e12debfe3d6068.pdf|http://92.154.49.37/CRIM/files/original/3a6ded095476e694e4d467a589a68eac.pdf|http://92.154.49.37/CRIM/files/original/b09f9e4b0db79da7df59c8bf7942e0de.pdf|http://92.154.49.37/CRIM/files/original/e1df98e9000db2020987fc5b6e1114ba.pdf|http://92.154.49.37/CRIM/files/original/61ac4750879459d41b8825ba621c60a7.pdf
